codigo,nombre,creditos,semestre,prerrequisitos
ADM-160,PRINCIPIOS DE ADMINISTRACIÓN,4,1,
CON-111,INTRODUCCIÓN A LA CONTADURÍA,2,1,
CON-118,CONTABILIDAD I,3,1,
ESP-181,LENGUA ESPAÑOLA I,4,1,
INF-103,OFIMÁTICA,2,1,
MAT-095,MATEMÁTICA BÁSICA,4,1,
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
ADM-181,ORGANIZACIÓN EMPRESARIAL,4,2,ADM-160
CON-119,CONTABILIDAD II,3,2,CON-118
ECO-100,PRINCIPIOS DE ECONOMÍA,4,2,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
INF-113,TEC. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
ING-105,INGLÉS I,0,2,
MAT-100,MATEMÁTICA I,4,2,MAT-095
CON-120,CONTABILIDAD III,3,3,CON-119
ECO-110,MICROECONOMÍA,3,3,ECO-100;MAT-100
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
ING-115,INGLÉS II,0,3,ING-105
MAT-306,PENSAMIENTO LÓGICO,3,3,MAT-100;SOC-182
SOC-114,METODOLOGÍA DE LA INVESTIGACIÓN I,3,3,
CON-103,CONTABILIDAD IV,4,4,CON-120
ECO-120,MACROECONOMÍA,3,4,ECO-110
ESP-210,REDACCIÓN COMERCIAL,3,4,ESP-302
ING-125,INGLÉS III,0,4,ING-115
MAT-134,FUNDAMENTOS DE ESTADÍSTICA,2,4,MAT-100
MAT-180,MATEMÁTICA FINANCIERA,4,4,MAT-306
MER-100,MERCADEO,4,4,
SOC-118,METODOLOGÍA DE LA INVESTIGACIÓN II,3,4,SOC-114
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,4,
CON-305,COSTO I,3,5,CON-103
CON-370,TALLER DE CONTABILIDAD I,4,5,CON-103
CON-500,EXCEL PARA FINANZAS,2,5,INF-103;MAT-180
ING-135,INGLÉS IV,0,5,ING-125
MAT-170,CÁLCULO I,4,5,MAT-100
SOC-502,CIUDADANÍA Y GLOBALIZACIÓN,2,5,
CON-306,COSTO II,3,6,CON-305
CON-335,SISTEMAS CONTABLES,2,6,CON-370;CON-500
CON-470,TALLER DE CONTABILIDAD II,4,6,CON-370
DER-850,DERECHO EMPRESARIAL,3,6,
INF-406,SISTEMA DE CONTABILIDAD COMPUTARIZADA I,3,6,CON-500
ING-168,INGLÉS PROFESIONAL,0,6,ING-135
MAT-130,ESTADÍSTICA I,3,6,MAT-134
SOC-155,MEDIO AMBIENTE Y SOSTENIBILIDAD,3,6,
SOC-160,ÉTICA PROFESIONAL,2,6,
CON-307,COSTO III,3,7,CON-306
CON-702,GESTIÓN FISCAL I,3,7,CON-103
CON-704,CONTABILIDAD DE INSTITUCIONES FINANCIERAS,2,7,CON-103
CON-706,CONTABILIDAD AVANZADA I,3,7,CON-103
INF-408,SISTEMA DE CONTABILIDAD COMPUTARIZADA II,3,7,INF-406
MAT-140,ESTADÍSTICA II,3,7,MAT-130
SIC-766,INTELIGENCIA EMOCIONAL,2,7,
ADM-197,GESTIÓN DE RECURSOS HUMANOS,4,8,ADM-181
CON-204,AUDITORÍA I,3,8,CON-706;CON-470
CON-802,GESTIÓN FISCAL II,3,8,CON-702
CON-804,CONTABILIDAD AVANZADA II,3,8,CON-706
ECO-230,MONEDA Y BANCA,3,8,
ECO-525,FINANZAS PERSONALES,2,8,
ADM-260,PRESUPUESTO EMPRESARIAL,3,9,ADM-181;CON-706
CON-117,CONTABILIDAD ADMINISTRATIVA,3,9,CON-307
CON-206,AUDITORÍA II,3,9,CON-204
ECO-280,PRESUPUESTO PÚBLICO,3,9,ECO-120
ADM-900,FORMACIÓN DE EMPRENDEDORES,3,10,
CON-208,AUDITORÍA III,3,10,CON-206
CON-322,ANÁLISIS DE ESTADOS FINANCIEROS,3,10,CON-117;CON-206;CON-804
ECO-520,FINANZAS INTERNACIONALES,3,10,CON-804;ECO-230
SOC-480,ETIQUETA Y PROTOCOLO,2,10,
ADM-291,GESTIÓN FINANCIERA I,4,10,CON-117;CON-322
CON-906,CONTABILIDAD GUBERNAMENTAL Y CONTRALORÍA,3,10,CON-322;CON-335
CON-907,CONTABILIDAD IMPOSITIVA Y LABORAL,2,10,CON-802
DPG-010,ANTEPROYECTO DE GRADO,4,10,ADM-900
ECO-250,EVALUACIÓN DE PROYECTOS,4,10,CON-322;ECO-120
DPG-020,PROYECTO DE GRADO,6,10,
ADM-650,AUDITORÍA OPERATIVA Y ADMINISTRATIVA,3,10,ADM-197;CON-117
ADM-710,PLANIFICACIÓN ESTRATÉGICA,3,10,ADM-291;CON-117
CON-900,CONTABILIDAD ESPECIALIZADA,4,10,CON-800
CON-902,TÉCNICA PARA ELABORACIÓN Y PRESENTACIÓN DE,4,10,CON-322
CON-904,ESTÁNDARES INTERNACIONALES DE INFORMACIÓN,3,10,CON-200
