codigo,nombre,creditos,semestre,prerrequisitos
EDU-100,INTRODUCCION A LA EDUCACION,3,1,
ESP-095,LENGUA ESPAÑOLA BASICA,4,1,
MAT-095,MATEMATICA BASICA,4,1,
SOC-116,METODOLOGIA INVESTIGACION,4,1,
SOC-180,INTRODUCCION A LA FILOSOFIA,3,1,
ORI-112,ORIENTACION UNIVERSITARIA,2,1,
EDU-130,HISTORIA GENERAL DE LA EDUCACION,3,2,EDU-100
EDU-131,TALLER DE EDUCACION ARTISTICA Y CREATIVIDAD,3,2,
EDU-460,FILOSOFIA DE LA EDUCACION,3,2,SOC-180
ESP-181,LENGUA ESPAÑOLA I,4,2,ESP-095
MAT-100,MATEMATICA I,4,2,MAT-095
SIC-205,DESARROLLO CIENTIFICO E INTELIGENCIA EN LA EDUCACION,3,2,SOC-116
EDU-151,TENDENCIAS PEDAGOGICAS CONTEMPORANEAS,3,3,SOC-180
ESP-189,LENGUA ESPAÑOLA II,4,3,ESP-181
ING-100,INGLES I,4,3,
SOC-100,SOCIOLOGIA,3,3,SOC-180
SOC-150,EDUCACION PARA EL MEDIO AMBIENTE,2,3,
SOC-225,INTRODUCCION A LAS CIENCIAS SOCIALES,3,3,EDU-130
EDU-110,DIDACTICA GENERAL,3,4,EDU-130
EDU-380,ASPECTOS GENERALES DEL CURRICULO,3,4,EDU-100
EDU-640,SOCIOLOGIA DE LA EDUCACION,3,4,EDU-130
ESP-130,ORTOGRAFIA ACTUALIZADA,3,4,ESP-189
INF-103,OFIMATICA,2,4,MAT-095
ING-110,INGLES II,4,4,ING-100
MED-010,LABORATORIO DE BIOLOGÍA I,1,4,MED-100
MED-100,BIOLOGIA I,3,4,MED-010
SIC-100,PSICOLOGIA GENERAL,3,4,
EDU-142,FUNDAMENTO DEL CURRICULO EN LA EDUCACION INICIAL,3,5,EDU-110;EDU-380
EDU-143,HISTORIA DE LA EDUCACION INICIAL,3,5,EDU-130
EDU-145,DIDACTICA ESPECIAL DE LA EDUCACION INICIAL,3,5,EDU-110
EDU-325,LEGISLACION EDUCATIVA,3,5,EDU-380
EDU-350,MEDIDA Y EVALUACION EDUCATIVA,3,5,EDU-110
ING-120,INGLES III,4,5,ING-110
SIC-017,PSICOLOGIA DEL NIÑO (0-2 AÑOS),3,5,SIC-100
EDN-196,DESCUBRIENDO EL MEDIO NATURAL Y SOCIAL,3,6,SOC-225
EDU-236,ORGANIZACION DEL TRABAJO DIARIO EN LA EDUCACION INICIAL,3,6,EDU-145
EDU-237,FUNDAMENTO DEL JUEGO - TRABAJO EN LA EDUCACION INICIAL,3,6,EDU-142
ING-130,INGLES IV,4,6,ING-120
SIC-018,PSICOLOGIA DEL NIÑOS (3 A 6 AÑOS),3,6,SIC-017
SIC-019,FUNDAMENTOS PSICOPEDAGOGICOS DE EDUCACION INICIAL,3,6,SIC-017
SOC-700,CULTURA Y CIVISMO,2,6,
EDU-095,IDENTIDAD DEL DOCENTE,3,7,EDU-380
EDU-175,PRACTICA DOCENTE I,3,7,EDU-110
EDU-306,RECURSOS DIDACTICOS EN LA EDUCACION INICIAL,4,7,EDU-110
EDU-308,EDUCACION Y SALUD INFANTIL,3,7,MED-100
EDU-635,SUPERVISION EDUCATIVA,3,7,EDU-110
EDU-710,PROCESOS PEDAGOGICOS DE EDUCACION INICIAL I,3,7,SIC-019
SOC-140,RELACIONES HUMANAS,2,7,
EDU-205,PRACTICA DOCENTE II,3,8,EDU-175
EDU-403,PROCESOS EVALUATIVOS EN EDUCACION INICIAL,3,8,EDU-710
EDU-810,PROCESOS PEDAGOGICOS DE EDUCACION INICIAL II,3,8,EDU-710
EDU-116,INVESTIGACION EDUCATIVA,3,8,SOC-116
ESP-112,LITERATURA INFANTIL,3,8,ESP-189
ESP-113,COMUNICACION ORAL Y ESCRITA I,3,8,ESP-189
SIC-816,EXPRESION CORPORAL PSICOMOTRICIDAD,3,8,SIC-017
EDU-575,RELACION ESCUELA COMUNIDAD,3,9,SOC-225
EDU-576,EXPRESION GRAFICO PLASTICA EN LA EDUCACION INICIAL,3,9,SIC-019
EDU-577,ESTRATEGIAS LUDICAS Y MEDIOS EDUCATIVOS,3,9,SIC-205
EDU-579,PRACTICA DOCENTE III SUPERVISADA EN LA EDUCACION INICIAL,3,9,EDU-205
ESP-905,COMUNICACION ORAL Y ESCRITA II,3,9,ESP-113
ESP-906,DIDACTICA DE LA COMUNICACIÓN ORAL Y ESCRITA,3,9,ESP-113
ADM-900,FORMACION DE EMPRENDEDORES,3,10,
EDU-365,ORIENTACION EDUCATIVA,3,10,SIC-100
INF-107,INFORMATICA Y JUEGOS,2,10,EDU-100;INF-103
SIC-818,DESARROLLO DE LENGUAS EN LA EDUCACION INICIAL,3,10,SIC-019
SOC-160,ETICA PROFESIONAL,2,10,
DPG-010,ANTEPROYECTO DE GRADO,4,10,ADM-900
EDU-772,EXPRESION MUSICAL EN LA EDUCACION INICIAL,3,10,SIC-019
ESP-301,CURSO DE REDACCION,4,10,ESP-189
SIC-819,DESARROLLO LOGICO-MATEMATICO EN LA EDUCACION INICIAL,4,10,MAT-100;SIC-019
SOC-480,ETIQUETA Y PROTOCOLO,2,10,
DPG-020,PROYECTO DE GRADO,6,10,
EDU-963,FORMACION INTEGRAL HUMANA Y RELIGIOSA,2,10,
EDU-969,ATENCION A LA DIVERSIDAD,3,10,
EDU-970,EDUCACION EN VALORES,2,10,
