codigo,nombre,creditos,semestre,prerrequisitos
ESP-095,LENGUA ESPAÑOLA BASICA,4,1,
FAR-680,HISTORIA DE LA FARMACIA,2,1,
ING-100,INGLES I,4,1,
MAT-095,MATEMATICA BASICA,4,1,
MED-010,LABORATORIO DE BIOLOGIA I,1,1,MED-100
MED-100,BIOLOGIA I,3,1,MED-010
ORI-112,ORIENTACION UNIVERSITARIA,2,1,
SOC-116,METODOLOGIA DE LA INVESTIGACION,4,1,
ESP-181,LENGUA ESPAÑOLA I,4,2,ESP-095
INF-103,OFIMATICA,2,2,
ING-110,INGLES II,4,2,ING-100
MAT-100,MATEMATICA I,4,2,MAT-095
SOC-150,EDUCACION PARA EL MEDIO AMBIENTE,2,2,
SOC-180,INTRODUCCION A LA FILOSOFIA,3,2,
SOC-420,HISTORIA SOCIAL DOMINICANA,3,2,
ESP-189,LENGUA ESPAÑOLA II,4,3,ESP-181
ING-120,INGLES III,4,3,ING-110
MAT-110,MATEMATICA II,4,3,MAT-100
MED-395,FUNDAMENTOS DE ANATOMIA,2,3,MED-010;MED-100;MED-396
MED-396,LABORATORIO DE FUNDAMENTOS DE ANATOMIA,1,3,MED-010;MED-100;MED-395
MED-750,QUIMICA INORGANICA I,3,3,MAT-100;MED-755
MED-755,LABORATORIO DE QUIMICA INORGANICA I,1,3,MAT-100;MED-750
SOC-140,RELACIONES HUMANAS,2,3,
SOC-700,CULTURA Y CIVISMO,2,3,
FAR-510,FARMACO-BOTANICA,3,4,MED-010;MED-100;FAR-515
FAR-515,LABORATORIO DE FARMACO-BOTANICA,1,4,MED-010;MED-100;FAR-510
ING-130,INGLES IV,4,4,ING-120
MAT-190,FISICA I,4,4,MAT-110;MAT-191
MAT-191,LABORATORIO DE FISICA I,1,4,MAT-110;MAT-190
MED-397,FUNDAMENTOS DE FISIOLOGIA,2,4,MED-010;MED-100;MED-398
MED-398,LABORATORIO DE FUNDAMENTOS DE FISIOLOGIA,1,4,MED-010;MED-100;MED-397
MED-760,QUÍMICA INORGANICA II,3,4,MED-750;MED-755;MED-765
MED-765,LABORATORIO DE QUÍMICA INORGANICA II,1,4,MED-750;MED-755;MED-760
SIC-102,INTRODUCCION A LA PSICOLOGIA,4,4,
FAR-400,PATOLOGIA GENERAL,4,5,MED-395;MED-396;FAR-405
FAR-405,LABORATORIO DE PATOLOGIA GENERAL,1,5,MED-395;MED-396;FAR-400
FAR-590,FARMACOGNOSIA I,3,5,FAR-510;FAR-515;FAR-595
FAR-595,LABORATORIO DE FARMACOGNOSIA I,2,5,FAR-510;FAR-515;FAR-590
ING-140,INGLES V,4,5,ING-130
MED-254,PARASITOLOGIA,3,5,MED-397;MED-398;MED-255
MED-255,LABORATORIO DE PARASITOLOGIA,1,5,MED-397;MED-398;MED-254
MED-867,QUIMICA INORGANICA III,3,5,MED-760;MED-765;MED-868
MED-868,LABORATORIO DE QUIMICA INORGANICA,1,5,MED-760;MED-765;MED-867
FAR-530,ANALISIS QUIMICO CUALITATIVO,2,6,MAT-190;MAT-191;MED-750;MED-755
FAR-535,LABORATORIO DE ANALISIS QUIMICO CUALITATIVO,2,6,MAT-190;MAT-191;MED-750;MED-755
FAR-630,FISICO-QUIMICA FARMACEUTICA,3,6,MAT-190;MAT-191;MED-750;MED-755
FAR-635,LABORATORIO DE FISICO-QUIMICA FARMACEUTICA,1,6,MAT-190;MAT-191;MED-750;MED-755
FAR-660,FARMACOGNOSIA II,3,6,FAR-590;FAR-595;FAR-665
FAR-665,LABORATORIO DE FARMACOGNOSIA II,2,6,FAR-590;FAR-595;FAR-660
FAR-700,ADMINISTRACION FARMACEUTICA,2,6,FAR-590;FAR-595
MED-160,BIOESTADISTICA,4,6,MAT-110
MED-770,QUIMICA ORGANICA I,3,6,MED-867;MED-868;MED-774
MED-774,LABORATORIO DE QUIMICA ORGANICA I,1,6,MED-867;MED-868;MED-770
FAR-110,TECNOLOGIA FARMACEUTICA I,4,7,FAR-530;FAR-535;FAR-115
FAR-115,LABORATORIO DE TECNOLOGIA FARMACEUTICA I,1,7,FAR-530;FAR-535;FAR-110
FAR-620,ANALISIS QUIMICO CUANTITATIVO I,3,7,FAR-530;FAR-535;FAR-625
FAR-625,LABORATORIO DE ANALISIS QUIMICO CUANTITATIVO I,2,7,FAR-530;FAR-535;FAR-620
MED-192,BIOQUIMICA I,4,7,MED-770;MED-774;MED-197
MED-197,LABORATORIO DE BIOQUIMICA I,1,7,MED-770;MED-774;MED-192
MED-775,QUIMICA ORGANICA II,3,7,MED-770;MED-774;MED-776
MED-776,LABORATORIO DE QUIMICA ORGANICA II,1,7,MED-770;MED-774;MED-775
ENF-995,URGENCIAS HOSPITALARIAS,2,8,MED-395;MED-396
FAR-160,TECNOLOGIA FARMACEUTICA II,4,8,FAR-110;FAR-115;FAR-165
FAR-165,LABORATORIO DE TECNOLOGIA FARMACEUTICA II,1,8,FAR-110;FAR-115;FAR-160
FAR-325,FARMACOLOGIA I,4,8,FAR-660;FAR-665;MED-192;MED-197
FAR-640,BROMATOLOGIA,3,8,FAR-620;FAR-625;MED-192;MED-197
FAR-645,LABORATORIO DE BROMATOLOGIA,1,8,FAR-620;FAR-625;MED-192;MED-197
FAR-775,ANALISIS INSTRUMENTAL,4,8,FAR-620;FAR-625
MED-606,BIOQUIMICA II,4,8,MED-192;MED197;MED-607
MED-607,LABORATORIO DE BIOQUIMICA II,1,8,MED-192;MED197;MED-606
FAR-265,TECNOLOGIA FARMACEUTICA III,4,9,FAR-160;FAR-165
FAR-600,TOXICOLOGIA,3,9,FAR-325;FAR-640;FAR-645
FAR-910,SALUD PUBLICA,3,9,MED-160
FAR-930,FARMACOLOGIA II,3,9,FAR-325;FAR-935
FAR-935,LABORATORIO DE FARMACOLOGIA II,1,9,FAR-325;FAR-930
FAR-940,MARKETING FARMACEUTICO,3,9,FAR-325
MED-272,MICROBIOLOGIA MEDICA,3,9,MED-606;MED-607;MED-274
MED-274,LABORATORIO DE MICROBIOLOGIA MEDICA,1,9,MED-606;MED-607;MED-272
ADM-900,FORMACION DE EMPRENDEDORES,3,10,
ESP-301,CURSO DE REDACCION,4,10,ESP-189
FAR-315,TECNOLOGIA FARMACEUTICA IV,4,10,FAR-265;FAR-316
FAR-316,LABORATORIO DE TECNOLOGIA FARMACEUTICA IV,1,10,FAR-265;FAR-315
FAR-475,ANALISIS DE MEDICAMENTOS,2,10,FAR-775;FAR-476
FAR-476,LABORATORIO DE ANALISIS DE MEDICAMENTOS,1,10,FAR-775;FAR-475
FAR-765,LEGISLACION FARMACEUTICA Y DEONTOLOGIA,3,10,FAR-325
FAR-960,GARANTIA DE CALIDAD,3,10,FAR-775
MED-450,NUTRICION,2,10,FAR-640;FAR-645;MED-606;MED-607
DPG-010,ANTEPROYECTO DE GRADO,4,11,ADM-900
FAR-230,FARMACIA CLINICA,2,11,FAR-930;FAR-935;FAR-235
FAR-235,LABORATORIO DE FARMACIA CLINICA,3,11,FAR-930;FAR-935;FAR-230
FAR-250,FARMACIA DE HOSPITAL,2,11,FAR-930;FAR-935;FAR-255
FAR-255,LABORATORIO DE FARMACIA DE HOSPITAL,1,11,FAR-930;FAR-935;FAR-250
FAR-330,INCOMPATIBILIDAD Y ESTABILIDAD DE DROGAS Y,2,11,FAR-325;FAR-335
FAR-944,FARMACOCINETICA,2,11,FAR-265;FAR-325
