codigo,nombre,creditos,semestre,prerrequisitos
ARQ-115,INTRODUCCIÓN A LA ARQUITECTURA,2,1,
ARQ-130,GEOMETRÍA DESCRIPTIVA,4,1,
DIB-520,DIBUJO TÉCNICO,4,1,
ESP-181,LENGUA ESPAÑOLA I,4,1,
INF-103,OFIMÁTICA,2,1,
MAT-095,MATEMÁTICA BÁSICA,4,1,
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
ARQ-100,INTRODUCCIÓN AL DISEÑO I,5,2,
ARQ-205,PERSPECTIVA LINEAL,4,2,ARQ-130;DIB-520
DIB-530,DIBUJO ARQUITECTÓNICO I,4,2,ARQ-130;DIB-520
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
INF-113,TEC. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
ING-105,INGLÉS I,0,2,
INT-115,DIBUJO ARTÍSTICO I,3,2,
MAT-100,MATEMÁTICA I,4,2,MAT-095
ARQ-140,INTRODUCCIÓN AL DISEÑO II,5,3,ARQ-100
ARQ-170,PERSPECTIVA Y SOMBRA,4,3,ARQ-205;DIB-530
ARQ-210,TOPOGRAFÍA,4,3,MAT-100
ARQ-320,CLIMATOLOGÍA,3,3,DIB-530
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
ING-115,INGLÉS II,0,3,ING-105
INT-215,DIBUJO ARTÍSTICO II,3,3,INT-115
MAT-306,PENSAMIENTO LÓGICO,3,3,MAT-100;SOC-182
SOC-114,METODOLOGÍA DE LA INVESTIGACIÓN I,3,3,
ARQ-122,HISTORIA DEL ARTE Y LA CULTURA I,2,4,
ARQ-180,TEORÍA DEL COLOR,3,4,ARQ-100;INT-215
ARQ-190,DISEÑO ARQUITECTÓNICO I,8,4,ARQ-140;ARQ-205;DIB-530
ING-125,INGLÉS III,0,4,ING-115
MAT-134,FUNDAMENTOS DE ESTADÍSTICA,2,4,MAT-100
MAT-150,GEOMETRIA ANALÍTICA,4,4,MAT-100
MAT-190,FÍSICA I,4,4,MAT-100;MAT-191
MAT-191,LABORATORIO DE FÍSICA I,1,4,MAT-100;MAT-190
SOC-118,METODOLOGÍA DE LA INVESTIGACIÓN II,3,4,SOC-114
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,4,
ARQ-127,HISTORIA DEL ARTE Y LA CULTURA II,2,5,ARQ-122
ARQ-230,DISEÑO ARQUITECTÓNICO II,8,5,ARQ-190
ARQ-545,INFORMÁTICA PARA ARQ. Y DIS. I,2,5,DIB-530;INF-113
DIB-220,TÉCNICA DE PRESENTACIÓN I,3,5,ARQ-170;DIB-530
DIB-560,MAQUETA I,3,5,DIB-530
ICV-300,ESTÁTICA INTRODUCTORIA,4,5,MAT-150;MAT-190;MAT-191
ING-135,INGLÉS IV,0,5,ING-125
MAT-170,CÁLCULO I,4,5,MAT-150
SOC-502,CIUDADANÍA Y GLOBALIZACIÓN,2,5,
ARQ-200,HISTORIA DE LA ARQUITECTURA I,3,6,ARQ-127
ARQ-280,DISEÑO ARQUITECTÓNICO III,8,6,ARQ-230
ARQ-605,INFORMÁTICA PARA ARQ. Y DIS. II,3,6,ARQ-545
DIB-250,TÉCNICA DE PRESENTACIÓN II,3,6,ARQ-180;DIB-220;INT-115
ICV-305,ESTÁTICA APLICADA,4,6,ICV-300;MAT-190;MAT-191
IEL-380,INST. ELÉCTRICAS Y LUMINOTECNIA,3,6,MAT-190;MAT-191
ING-168,INGLÉS PROFESIONAL,0,6,ING-135
SOC-155,MEDIO AMBIENTE Y SOSTENIBILIDAD,3,6,
SOC-160,ÉTICA PROFESIONAL,2,6,
ARQ-110,TEORÍA DE LA ARQUITECTURA I,3,7,ARQ-127
ARQ-240,HISTORIA DE LA ARQUITECTURA II,3,7,ARQ-200
ARQ-330,DISEÑO ARQUITECTÓNICO IV,8,7,ARQ-280;ICV-305
ARQ-365,FONTANERÍA,3,7,ARQ-210
ARQ-705,INFORMÁTICA PARA ARQ. Y DIS. III,3,7,ARQ-605
ICV-350,RESISTENCIA DE MATERIALES I,3,7,ICV-305
SIC-766,INTELIGENCIA EMOCIONAL,2,7,
ARQ-150,TEORÍA DE LA ARQUITECTURA II,3,8,ARQ-110
ARQ-290,HISTORIA DE LA ARQUITECTURA III,3,8,ARQ-240
ARQ-370,DISEÑO ARQUITECTÓNICO V,8,8,ARQ-330
ARQ-400,HORMIGÓN ARMADO,3,8,ICV-350
ARQ-470,DISEÑO DE INTERIORES I,4,8,ARQ-330
ARQ-804,FOTOGRAFÍA,2,8,
ECO-525,FINANZAS PERSONALES,2,8,
ICV-810,PRESUPUESTO DE OBRAS I,3,8,ARQ-365;IEL-380
ARQ-160,TEORÍA DE LA ARQUITECTURA III,3,9,ARQ-150
ARQ-340,HISTORIA DE LA ARQUITECTURA IV,3,9,ARQ-290
ARQ-410,DISEÑO ARQUITECTÓNICO VI,8,9,ARQ-370;ARQ-400
ARQ-420,DISEÑO ESTRUCTURAL I,3,9,ARQ-400
ARQ-500,DISEÑO DE INTERIORES II,3,9,ARQ-470;DIB-250
ARQ-520,SOCIOLOGÍA URBANA,3,9,
ICV-580,ADMINISTRACIÓN DE LA CONSTRUCCIÓN,4,9,ICV-810
ADM-900,FORMACIÓN DE EMPRENDEDORES,3,10,
ARQ-390,URBANISMO I,3,10,ARQ-520
ARQ-450,DISEÑO ARQUITECTÓNICO VII,8,10,ARQ-410
ARQ-480,DISEÑO ESTRUCTURAL II,3,10,ARQ-420
ARQ-820,HISTORIA DE LA ARQUITECTURA LATINOAMERICANA,3,10,ARQ-340
ARQ-430,URBANISMO II,3,11,ARQ-390
ARQ-490,DISEÑO ARQUITECTÓNICO VIII,8,11,ARQ-450;ARQ-480
ARQ-510,RESTAURACIÓN DE MONUMENTOS,3,11,ARQ-820
ARQ-700,ARQUITECTURA Y ECOLOGÍA,3,11,ARQ-410
ARQ-800,GERENCIA DE PROYECTOS,3,11,ICV-580
ARQ-810,ARQUITECTURA Y PAISAJE,3,11,ARQ-410;DIB-250
ARQ-460,DISEÑO URBANO,3,12,ARQ-210;ARQ-430;ARQ-810
DPG-010,ANTEPROYECTO DE GRADO,4,12,ADM-900
DPG-020,PROYECTO DE GRADO,6,12,
INF-023,DOMÓTICA Y ENTORNO INTELIGENTE,3,12,
SIC-994,MANEJO DE CRISIS,3,12,
SIC-996,LIDERAZGO Y TRABAJO EN EQUIPO,3,12,
SOC-100,SOCIOLOGÍA,3,12,
SOC-280,ANTROPOLOGÍA,3,12,
SOC-480,ETIQUETA Y ROTOCOLO,2,12,
