codigo,nombre,creditos,semestre,prerrequisitos
BIO-100,INTRODUCCIÓN AL BIOANÁLISIS,2,1,
ESP-181,LENGUA ESPAÑOLA I,4,1,
INF-103,OFIMÁTICA,2,1,
MAT-095,MATEMÁTICA BÁSICA,4,1,
MED-010,LABORATORIO DE BIOLOGÍA,1,1,MED-100
MED-100,BIOLOGÍA,3,1,MED-010
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
INF-113,TEC. INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
ING-105,INGLÉS I,0,2,
MAT-100,MATEMÁTICA I,4,2,MAT-095
MED-750,QUÍMICA INORGÁNICA I,3,2,MAT-100;MED-755
MED-755,LAB. QUÍMICA INORGÁNICA I,1,2,MAT-100;MED-750
SOC-114,METODOLOGÍA DE LA INVESTIGACIÓN I,3,2,
BIO-112,BIOANÁLISIS Y TECNOLOGÍA,3,3,BIO-100
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
ING-115,INGLÉS II,0,3,ING-105
MAT-190,FÍSICA I,4,3,MAT-100;MAT-191
MAT-191,LAB. DE FÍSICA I,1,3,MAT-100;MAT-190
MAT-306,PENSAMIENTO LÓGICO,3,3,MAT-100;SOC-182
MED-760,QUÍMICA INORGÁNICA II,3,3,MED-750;MED-755;MED765
MED-765,LABORATORIO QUÍMICA INORGÁNICA II,1,3,MED-750;MED-755;MED760
ING-125,INGLÉS III,0,4,ING-115
MAT-134,FUNDAMENTOS DE ESTADÍSTICA,2,4,MAT-100
MED-160,BIOESTADÍSTICA,4,4,MAT-100
MED-401,BIOFÍSICA,4,4,MAT-100
MED-770,QUÍMICA ORGÁNICA I,3,4,MED-760;MED-765;MED-774
MED-774,LAB. QUÍMICA ORGÁNICA I,1,4,MED-760;MED-765;MED-770
SOC-118,METODOLOGÍA DE LA INVESTIGACIÓN II,3,4,SOC-114
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,4,
BIO-720,ADMINISTRACIÓN DE LABORATORIO,2,5,
ENF-625,FUNDAMENTOS DE EPIDEMIOLOGÍA,3,5,MED-160
FAR-500,BIOLOGÍA CELULAR Y MOLECULAR,3,5,MED-401
ING-135,INGLÉS IV,0,5,ING-125
MED-192,BIOQUÍMICA I,4,5,MED-770;MED-774;MED-197
MED-197,LAB. BIOQUÍMICA I,1,5,MED-770;MED-774;MED-192
MED-395,FUNDAMENTOS DE ANATOMÍA,2,5,MED-010;MED-100;MED396
MED-396,LAB. FUND. DE ANATOMÍA,1,5,MED-010;MED-100;MED395
MED-397,FUNDAMENTOS DE FISIOLOGÍA,2,5,MED-010;MED-100;MED398
MED-398,LAB. FUN. DE FISIOLOGÍA,1,5,MED-010;MED-100;MED397
SOC-502,CIUDADANÍA Y GLOBALIZACIÓN,2,5,
BIO-600,INTROD. A LA HISTOLOGÍA Y EMBRIOLOGÍA,4,6,MED-395;MED-396;BIO-605
BIO-605,LAB. INTROD. A LA HISTOLOGÍA Y EMBRIOLOGÍA,1,6,MED-395;MED-396;BIO-600
FAR-400,PATOLOGÍA GENERAL,4,6,MED-395;MED-396;FAR-405
FAR-405,LAB. PATOLOGÍA GENERAL,1,6,MED-395;MED-396;FAR-400
ING-168,INGLÉS PROFESIONAL,0,6,ING-135
MED-280,GENÉTICA MÉDICA,2,6,BIO-600;BIO-605;MED-606;MED-607
MED-606,BIOQUÍMICA II,4,6,MED-192;MED-197;MED-607
MED-607,LAB. BIOQUÍMICA II,1,6,MED-192;MED-197;MED-606
MED-880,INMUNOLOGÍA Y ALERGIA,2,6,BIO-600;BIO-605;MED-606;MED-607
SOC-155,MEDIO AMBIENTE Y SOSTENIBILIDAD,3,6,
SOC-160,ÉTICA PROFESIONAL,2,6,
BIO-200,HEMATOLOGÍA I,4,7,BIO-112;MED-395;MED-396
BIO-205,LAB. HEMATOLOGÍA I,2,7,BIO-112;MED-395;MED-396
BIO-220,PARASITOLOGÍA,4,7,BIO-112;MED-010;MED-100;BIO225
BIO-225,LAB. PARASITOLOGÍA,2,7,BIO-112;MED-010;MED-100;BIO220
BIO-310,MICROBIOLOGÍA GENERAL,2,7,BIO-112;FAR-400;FAR-405;BIO-315
BIO-315,LAB. MICROBIOLOGÍA GENERAL,2,7,BIO-112;FAR-400;FAR-405;BIO-310
FAR-530,ANÁLISIS QUÍMICO CUALITATIVO,2,7,MED-770;MED-774;FAR535
FAR-535,LAB. ANÁLISIS QUÍMICO CUALITATIVO,2,7,MED-770;MED-774;FAR530
SIC-766,INTELIGENCIA EMOCIONAL,2,7,
BIO-210,HEMATOLOGÍA II,4,8,BIO-112;BIO-220;BIO-225;BIO-215
BIO-215,LAB. HEMATOLOGÍA II,2,8,BIO-112;BIO-220;BIO-225;BIO-210
BIO-240,MEDICINA TROPICAL,2,8,BIO-220;BIO-225;BIO-245
BIO-245,LAB. MEDICINA TROPICAL,2,8,BIO-220;BIO-225;BIO-240
BIO-400,FLUIDOS BIOLÓGICOS,3,8,FAR-400;FAR-405;BIO-415
BIO-415,LAB. FLUIDOS BIOLÓGICOS,1,8,FAR-400;FAR-405;BIO-400
