codigo,nombre,creditos,semestre,prerrequisitos
DER-102,INTRODUCCIÓN AL ESTUDIO DEL DERECHO,2,1,
ESP-181,LENGUA ESPAÑOLA I,4,1,
INF-103,OFIMÁTICA,2,1,
MAT-095,MATEMÁTICA BÁSICA,4,1,
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
DER-125,DERECHO ROMANO,4,2,
DER-141,HISTORIA DEL DERECHO,2,2,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
INF-113,TEC. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
ING-105,INGLÉS I,0,2,
MAT-100,MATEMÁTICA I,4,2,MAT-095
DER-110,DERECHO CIVIL I,4,3,DER-125;DER-141
DER-170,DERECHO CONSTITUCIONAL,4,3,DER-125;DER-141
DER-489,SOCIOLOGÍA JURÍDICA,2,3,DER-102
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-181
ING-115,INGLÉS II,0,3,ING-105
MAT-306,PENSAMIENTO LÓGICO,3,3,MAT-100;SOC-182
SOC-114,METODOLOGÍA DE LA INVESTIGACIÓN I,3,3,
SOC-200,HISTORIA DE LAS IDEAS POLÍTICAS,3,3,DER-141
DER-151,DERECHO PENAL GENERAL I,4,4,DER-110
DER-160,DERECHO CIVIL II,4,4,DER-110
DER-270,DERECHO INTERNACIONAL PÚBLICO,3,4,DER-170
DER-335,FILOSOFÍA DEL DERECHO,2,4,SOC-182
DER-982,DERECHO PROCESAL CONSTITUCIONAL,3,4,DER-170
ING-125,INGLÉS III,0,4,ING-115
MAT-134,FUNDAMENTOS DE ESTADÍSTICAS,2,4,MAT-100
SOC-118,METODOLOGÍA DE LA INVESTIGACIÓN II,3,4,SOC-114
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,4,
DER-155,DERECHO PENAL GENERAL II,3,5,DER-151
DER-190,DERECHO CIVIL III,4,5,DER-160
DER-200,DERECHO PROCESAL CIVIL I,4,5,DER-160
DER-360,DERECHO INTERNACIONAL PRIVADO,3,5,DER-270
DER-450,CRIMINOLOGÍA,3,5,DER-151
DER-610,DERECHO DE LA PROPIEDAD INTELECTUAL,2,5,DER-160
ING-135,INGLÉS IV,0,5,ING-125
SOC-502,CIUDADANÍA Y GLOBALIZACIÓN,2,5,
DER-210,DERECHO PENAL ESPECIAL I,4,6,DER-155
DER-220,DERECHO PROCESAL PENAL I,4,6,DER-155
DER-230,DERECHO CIVIL IV,4,6,DER-190
DER-240,DERECHO PROCESAL CIVIL II,3,6,DER-200
DER-431,ÉTICA PROFESIONAL Y DEONTOLOGÍA JURÍDICA,2,6,
DER-841,MEDICINA FORENSE,3,6,DER-450
DER-965,CRIMINALÍSTICA,2,6,DER-450
ING-168,INGLÉS PROFESIONAL,0,6,ING-135
SOC-155,MEDIOAMBIENTE Y SOSTENIBILIDAD,3,6,
DER-250,DERECHO INMOBILIARIO,4,7,DER-230
DER-285,DERECHO PROCESAL PENAL II,4,7,DER-220;DER965
DER-290,DERECHO PENAL ESPECIAL II,4,7,DER-210
DER-300,DERECHO CIVIL V,4,7,DER-230
DER-320,DERECHO PROCESAL CIVIL III,3,7,DER-240
DER-511,PRÁCTICA JURÍDICA I,1,7,DER-155;DER-431
SIC-766,INTELIGENCIA EMOCIONAL,2,7,
DER-341,DERECHO COMERCIAL Y SOCIETARIO I,4,8,DER-300
DER-351,DERECHO ADMINISTRATIVO,3,8,DER-360;DER-230
DER-370,DERECHO LABORAL I,4,8,DER-300
DER-380,DERECHO CIVIL VI,4,8,DER-300
DER-391,DERECHO COMPARADO,2,8,DER-360;DER-230
DER-445,DERECHO PROCESAL PENAL III,2,8,DER-285
DER-512,PRÁCTICA JURÍDICA II,1,8,DER-230;DER-250;DER-511
ECO-525,FINANZAS PERSONALES,2,8,
DER-401,DERECHO COMERCIAL Y SOCIETARIO II,4,9,DER-341
DER-410,DERECHO CIVIL VII,4,9,DER-380
DER-420,DERECHO LABORAL II,4,9,DER-370
DER-509,PRÁCTICA JURÍDICA III,2,9,DER-290;DER-965;DER-512
DER-518,ARGUMENTACIÓN JURÍDICA,3,9,DER-285;ESP-302
DER-790,PENALOGÍA Y PENITENCIARIA,3,9,DER-965;DER-285;DER-290
DER-950,LEGISLACIÓN ECONÓMICA,2,9,DER-351
ADM-900,FORMACIÓN DE EMPRENDEDORES,3,10,
DER-514,PRÁCTICA JURÍDICA IV,2,10,DER-240;DER-341;DER-509
DER-560,DERECHO NOTARIAL,3,10,DER-401
DER-620,LEGISLACIÓN BANCARIA,2,10,DER-401
DER-700,LEGISLACIÓN TRIBUTARIA,4,10,DER-351
DER-515,PRÁCTICA JURÍDICA V,2,10,DER-420;DER-514
DER-753,LEGISLACIÓN DE TRÁNSITO,2,10,DER-285
DER-763,DERECHO CIVIL VIII,4,10,DER-320;DER-410
DER-765,INTRODUCCIÓN A LA MAGISTRATURA,3,10,DER-410;DER-790
DER-924,MÉTODOS ALTERNATIVOS DE CONFLICTOS,3,10,DER-431;DER-341;DER-220
DPG-010,ANTEPROYECTO DE GRADO,4,10,ADM-900
DPG-020,PROYECTO DE GRADO,6,10,
ADM-160,PRINCIPIOS DE ADMINISTRACIÓN,4,10,
DER-921,DERECHO ELECTORAL,3,10,DER-170
DER-922,TRADUCCIÓN JURÍDICA,3,10,FRA-110
DER-923,"DERECHO MARÍTIMO, TERRITORIAL Y DEL ESPACIO AÉREO",3,10,DER-170;DER-270
DER-945,LEGISLACIÓN PARA EL MEDIO AMBIENTE,3,10,SOC-155
DER-980,SEGURIDAD SOCIAL,3,10,DER-420
DER-981,LEGISLACIÓN SOBRE COOPERATIVAS,3,10,DER-401;DER-620
DER-984,DERECHO MIGRATORIO,3,10,DER-270
DER-985,LEGISLACIÓN MUNICIPAL,3,10,DER-170
ECO-100,PRINCIPIOS DE ECONOMÍA,4,10,
FRA-100,FRANCÉS I,3,10,
FRA-110,FRANCÉS II (Traducción de Textos),3,10,FRA-100
