codigo,nombre,creditos,semestre,prerrequisitos
ESP-181,LENGUA ESPAÑOLA I,4,1,
ICV-100,INTRODUCCIÓN A LA INGENIERÍA CIVIL,2,1,
INF-103,OFIMÁTICA,2,1,
ING-105,INGLÉS I,0,1,
MAT-160,PRECÁLCULO,4,1,
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-114,METODOLOGÍA DE LA INVESTIGACÍON I,3,1,
SOC-180,REFLEXIÓN FILOSÓFICA,3,1,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
INF-113,TEC. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
ING-115,INGLÉS II,0,2,ING-105
MAT-170,CÁLCULO I,4,2,MAT-160
MAT-190,FÍSICA I,4,2,MAT-160;MAT-191
MAT-191,LABORATORIO FÍSICA I,1,2,MAT-160;MAT-190
MAT-306,PENSAMIENTO LÓGICO,3,2,MAT-160;SOC-182
MED-750,QUÍMICA INORGÁNICA I,3,2,MED-755
MED-755,LABORATORIO QUÍMICA INORGÁNICA I,1,2,MED-750
SOC-118,METODOLOGÍA DE LA INVESTIGACÍON II,3,2,SOC-114
DIB-522,DIBUJO TÉCNICO,4,3,MAT-306
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
ICV-222,TOPOGRAFÍA BÁSICA,3,3,MAT-190;MAT-1991;ICV-223
ICV-223,LABORATORIO DE TOPOGRAFÍA BÁSICA,2,3,MAT-190;MAT-1991;ICV-222
ING-125,INGLÉS III,0,3,ING-115
MAT-340,CÁLCULO II,4,3,MAT-170
MAT-500,FÍSICA II,4,3,MAT-190;MAT-191;MAT-501
MAT-501,LABORATORIO DE FÍSICA II,1,3,MAT-190;MAT-191;MAT-500
ICV-215,DIBUJO CIVIL I,3,4,DIB-522
ICV-300,ESTÁTICA INTRODUCTORIA,4,4,MAT-190;MAT-191;MAT-170
ICV-415,TOPOGRAFÍA APLICADA,3,4,ICV-222;ICV-223;ICV-416
ICV-416,LABORATORIO TOPOGRAFÍA APLICADA,2,4,ICV-222;ICV-223;ICV-415
ING-135,INGLÉS IV,0,4,ING-125
MAT-350,CÁLCULO III,4,4,MAT-340
MAT-510,FÍSICA III,4,4,MAT-500;MAT-501;MAT511
MAT-511,LABORATORIO FÍSICA III,1,4,MAT-500;MAT-501;MAT510
SOC-502,CIUDADANÍA Y GLOBALIZACIÓN,2,4,
ICV-240,GEOLOGÍA APLICADA,3,5,MAT-500;MAT-501;ICV-415;ICV-416;ICV-245
ICV-245,LABORATORIO GEOLOGÍA APLICADA,1,5,MAT-500;MAT-501;ICV-415;ICV-416;ICV-240
ICV-305,ESTÁTICA APLICADA,4,5,ICV-300
ICV-460,HIDROLOGÍA GENERAL,3,5,ICV-300
IEL-400,INSTALACIONES ELÉCTRICAS,3,5,MAT-510;MAT-511;IEL-405
IEL-405,TALLER DE INSTALACIONES ELÉCTRICAS,1,5,MAT-510;MAT-511;IEL-400
IID-420,SEGURIDAD E HIGIENE INDUSTRIAL,3,5,
ING-168,INGLÉS PROFESIONAL,0,5,ING-135
MAT-135,ESTÁDISTICA PARA INGENIEROS,3,5,MAT-340
MAT-360,CÁLCULO IV,4,5,MAT-350
ICV-250,MECÁNICA DE SUELOS I,3,6,ICV-240;ICV-245;ICV-255
ICV-255,LABORATORIO MECÁNICA DE SUELOS I,1,6,ICV-240;ICV-245;ICV-250
ICV-470,HIDRÁULICA INTRODUCTORIA,4,6,ICV-305;MAT-500;MAT-501;ICV-475
ICV-475,LABORATORIO HIDRÁULICA INTRODUCTORIA,1,6,ICV-305;MAT-500;MAT-501;ICV-470
ICV-640,INTRODUCCIÓN AL TRÁNSITO,3,6,MAT-135;MAT-190;MAT-191
ICV-660,MECÁNICA ESTRUCTURAL I,3,6,ICV-305
ICV-670,PROYECTO INTEGRADOR I,5,6,
IMC-700,DINÁMICA,4,6,ICV-305
SOC-155,MEDIO AMBIENTE Y SOSTENIBILIDAD,3,6,
ICV-190,MATERIALES DE CONSTRUCCIÓN I,4,7,ICV-660;ICV-195
ICV-195,LABORATORIO MATERIALES DE CONSTRUCCIÓN I,1,7,ICV-660;ICV-190
ICV-260,MECÁNICA DE SUELOS II,4,7,ICV-250;ICV-255;ICV-265
ICV-265,LABORATORIO DE MECÁNICA DE SUELOS II,1,7,ICV-250;ICV-255;ICV-260
ICV-740,MECÁNICA ESTRUCTURAL II,3,7,ICV-660
ICV-950,HIDRÁULICA I,4,7,ICV-470;ICV-475;ICV-955
ICV-955,LABORATORIO DE HIDRÁULICA I,1,7,ICV-470;ICV-475;ICV-950
SIC-766,INTELIGENCIA EMOCIONAL,2,7,
ECO-525,FINANZAS PERSONALES,2,8,
ICV-280,CARRETERAS I,4,8,ICV-260;ICV-265;ICV-415;ICV-416
ICV-345,TEORÍA ESTRUCTURAL I,3,8,ICV-215;ICV-660
ICV-860,DRENAJES,3,8,ICV-950;ICV-955
ICV-870,QUÍMICA AMBIENTAL,3,8,ICV-950;ICV-955;MED-750;MED-755;ICV-875
ICV-875,LAB. DE QUÍMICA AMBIENTAL,1,8,ICV-950;ICV-955;MED-750;MED-755;ICV-870
MAT-200,ÁLGEBRA MATRICIAL,3,8,MAT-170
SOC-160,ÉTICA PROFESIONAL,2,8,
ICV-290,CARRETERAS II,4,9,ICV-280
ICV-355,TEORÍA ESTRUCTURAL II,4,9,ICV-345
ICV-520,LEGISLACIÓN APLICADA,3,9,ICV-870;ICV-875
ICV-810,PRESUPUESTO DE OBRAS I,3,9,ICV-190;ICV-345
ICV-830,CÁLCULO ESTRUCTURAL I,4,9,ICV-345
ICV-905,DISEÑO DE ACUEDUCTOS,3,9,ICV-870;ICV-875
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,9,
ADM-900,FORMACIÓN DE EMPRENDEDORES,3,10,
ICV-410,ANÁLISIS SÍSMICO DE ESTRUCTURAS,4,10,ICV-355;ICV-830
ICV-840,CÁLCULO ESTRUCTURAL II,4,10,ICV-830
ICV-915,INFORMÁTICA VIAL E HIDRÁULICA,3,10,ICV-290;ICV-860;ICV-905
ICV-925,INSTALACIONES SANITARIAS,3,10,ICV-215;ICV-950;ICV-955
ICV-990,INGENIERÍA AMBIENTAL,3,10,ICV-520;ICV-870;ICV-875
DPG-010,ANTEPROYECTO DE GRADO,4,11,ADM-900
ICV-390,CIMENTACIONES,4,11,ICV-260;ICV-265;ICV-840
ICV-580,ADMINISTRACIÓN DE LA CONSTRUCCIÓN,4,11,ICV-290;ICV-810;ICV-990;IID-420
ICV-650,PUENTES,4,11,ICV-410;ICV-390
ICV-820,PRESUPUESTO DE OBRAS II,3,11,ICV-810
ICV-935,ESTRUCTURAS METÁLICAS,3,11,ICV-840
ICV-945,INFORMÁTICA ESTRUCTURAL,3,11,ICV-410;ICV-840
DGP-020,PROYECTO DE GRADO,6,12,
ICV-590,IMPACTO AMBIENTAL DE OBRAS DE INGENIERÍA,3,12,ICV-990
ICV-985,GESTIÓN DE RESIDUOS SÓLIDOS,3,12,ICV-990
IID-025,DISEÑO Y EVALUACIÓN DE PROYECTOS,3,12,
