codigo,nombre,creditos,semestre,prerrequisitos
ESP-181,LENGUA ESPAÑOLA I,4,1,
IET-101,INTRODUCCIÓN A LA INGENIERÍA ELECTRÓNICA,2,1,
IET-102,PROCESAMIENTO DE DATOS,2,1,
IET-192,FUNDAMENTOS DE FÍSICA ELÉCTRICA,2,1,
IMC-102,DIBUJO ASISTIDO POR COMPUTADORAS,4,1,
MAT-160,PRECÁLCULO,4,1,
MED-750,QUÍMICA INORGÁNICA I,3,1,MED-755
MED-755,LAB. QUÍMICA INORGÁNICA I,1,1,MED-750
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
IEL-100,ELECTRICIDAD BÁSICA,3,2,MAT-160;IEL-105
IEL-105,TALLER DE ELECTRICIDAD BÁSICA,1,2,MAT-160;IEL-100
INF-113,TEC. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,
INF-117,ALGORITMOS COMPUTACIONALES,4,2,
ING-105,INGLÉS I,0,2,
MAT-170,CÁLCULO I,4,2,MAT-160
MAT-190,FÍSICA I,4,2,MAT-160;MAT-191
MAT-191,LAB. FÍSICA I,1,2,MAT-160;MAT-190
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
IEL-200,CIRCUITOS ELÉCTRICOS I,4,3,IEL-100;IEL-105;IEL-205
IEL-205,TALLER CIRCUITOS ELÉCTRICOS I,1,3,IEL-100;IEL-105;IEL-200
ING-115,INGLÉS II,0,3,ING-105
MAT-306,PENSAMIENTO LÓGICO,3,3,MAT-160;SOC-182
MAT-340,CÁLCULO II,4,3,MAT-170
MAT-500,FÍSICA II,4,3,MAT-190;MAT-191;MAT-501
MAT-501,LAB. FÍSICA II,1,3,MAT-190;MAT-191;MAT-500
SOC-114,METODOLOGÍA DE LA INVESTIGACIÓN I,3,3,
IEL-300,CIRCUITOS ELÉCTRICOS II,4,4,IEL-200;IEL-205;MAT-340;IEL-305
IEL-305,TALLER CIRCUITOS ELÉCTRICOS II,1,4,IEL-200;IEL-205;MAT-340;IEL-300
IET-310,ELECTRÓNICA I,4,4,IEL-200;IEL-205;MED-750;MED-755;IET-315
IET-315,TALLER ELECTRÓNICA I,1,4,IEL-200;IEL-205;MED-750;MED-755;IET-310
IET-320,CIRCUITOS LÓGICOS,3,4,IEL-100;IEL-105;IET-325
IET-325,TALLER DE CIRCUITOS LÓGICOS,1,4,IEL-100;IEL-105;IET-320
ING-125,INGLÉS III,0,4,ING-115
MAT-134,FUNDAMENTOS DE ESTADÍSTICA,2,4,MAT-160
MAT-350,CÁLCULO III,4,4,MAT-340
SOC-118,METODOLOGÍA DE LA INVESTIGACIÓN II,3,4,SOC-114
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,4,
IEL-310,MÁQUINAS ELÉCTRICAS I,4,5,IEL-300;IEL-305;IEL315
IEL-315,TALLER MÁQUINAS ELÉCTRICAS I,1,5,IEL-300;IEL-305;IEL310
IET-400,CIRCUITOS DIGITALES I,3,5,IEL-200;IEL205;IET-320;IET-325;IET-405
IET-405,TALLER CIRCUITOS DIGITALES I,1,5,IEL-200;IEL205;IET-320;IET-325;IET-400
IET-410,ELECTRÓNICA II,4,5,IEL-300;IEL305;IET-310;IET-315;IET-415
IET-415,TALLER ELECTRÓNICA II,1,5,IEL-300;IEL305;IET-310;IET-315;IET-410
IID-420,SEGURIDAD E HIGIENE INDUSTRIAL,3,5,
ING-135,INGLÉS IV,0,5,ING-125
MAT-360,CÁLCULO IV,4,5,MAT-350
SOC-502,CIUDADANÍA Y GLOBALIZACIÓN,2,5,
IEL-410,MÁQUINAS ELÉCTRICAS II,4,6,IEL-310;IEL315;IEL-415
IEL-415,TALLER MÁQUINAS ELÉCTRICAS II,1,6,IEL-310;IEL315;IEL-410
IET-426,TEORÍA DE COMUNICACIONES I,4,6,IET-410;IET415;IET-427
IET-427,LAB. DE TEORÍA DE COMUNICACIONES I,1,6,IET-410;IET415;IET-426
IET-600,CIRCUITOS DIGITALES II,3,6,IET-400;IET405;IET-605
IET-605,TALLER CIRCUITOS DIGITALES II,1,6,IET-400;IET405;IET-600
IET-670,CIRCUITOS LINEALES,3,6,IET-410;IET415;MAT-350;IET-675
IET-675,TALLER CIRCUITOS LINEALES,1,6,IET-410;IET415;MAT-350;IET-670
ING-168,INGLÉS PROFESIONAL,0,6,ING-135
SOC-155,MEDIO AMBIENTE Y SOSTENIBILIDAD,3,6,
SOC-160,ÉTICA PROFESIONAL,2,6,
IEL-520,CONTROLES ELÉCTRICOS I-A,2,7,IEL-410;IEL415;IET-320;IET-325;IEL-525
IEL-525,TALLER DE CONTROLES ELÉCTRICOS I-A,2,7,IEL-410;IEL415;IET-320;IET-325;IEL-520
IEL-810,ANÁLISIS DE CIRCUITOS ELÉCTRICOS,3,7,IEL-300;IEL-305;MAT-360
IET-546,TEORÍA DE COMUNICACIONES II,4,7,IET-410;IET-415;IET-426;IET-427;IET-547
IET-547,LAB. DE TEORÍA DE COMUNICACIONES II,1,7,IET-410;IET-415;IET-426;IET-427;IET-546
IET-612,PROYECTO INTEGRADOR,3,7,
IET-702,PROSPECTIVA DE TECNOLOGÍA ELECTRÓNICA,2,7,IET-600;IET-605;INF-117
IET-720,PROGRAMACIÓN I,3,7,IET-600;IET-605;INF-117;MAT-350;IET-725
IET-725,TALLER DE PROGRAMACIÓN I,1,7,IET-600;IET-605;INF-117;MAT-350;IET-720
SIC-766,INTELIGENCIA EMOCIONAL,2,7,
ECO-525,FINANZAS PERSONALES,2,8,
IEL-910,INSTRUMENTACIÓN,3,8,IEL-410;IEL-415;MAT-360;IEL-915
IEL-915,TALLER DE INSTRUMENTACIÓN,1,8,IEL-410;IEL-415;MAT-360;IEL-910
IET-741,REDES DE TELECOMUNICACIONES,3,8,IET-546;IET-547;IET-720;IET-725;IET-746
IET-746,LAB. REDES DE TELECOMUNICACIONES,1,8,IET-546;IET-547;IET-720;IET-725;IET-741
IET-806,SISTEMAS EMBEBIDOS I,3,8,IET-720;IET-725;IET-807
IET-807,LAB. SISTEMAS EMBEBIDOS I,1,8,IET-720;IET-725;IET-806
IET-820,PROGRAMACIÓN II,3,8,IET-720;IET-725;MAT-360;IET-825
IET-825,TALLER DE PROGRAMACIÓN II,1,8,IET-720;IET-725;MAT-360;IET-820
IET-830,GESTIÓN DE INFORMACIÓN DE DATOS ELECTRÓNICOS,2,8,IET-720;IET-725;MAT-360;IET-832
IET-832,LAB. GESTIÓN INFORMACIÓN DATOS ELECTRÓNICOS,1,8,IET-720;IET-725;MAT-360;IET-830
IID-900,INGENIERÍA ECONÓMICA,4,8,
IEL-900,CONTROLES DE SISTEMAS AUTOMÁTICOS,3,9,IEL-910;IEL-915;IEL-905
IEL-905,TALLER DE CONTROLES DE SISTEMAS AUTOMÁTICOS,1,9,IEL-910;IEL-915;IEL-900
IET-700,ELECTRÓNICA DE POTENCIA I,3,9,IET-410;IET-415;IET-806;IET-807;IET-705
IET-705,TALLER DE ELECTRÓNICA DE POTENCIA I,1,9,IET-410;IET-415;IET-806;IET-807;IET-700
IET-906,SISTEMAS EMBEBIDOS II,4,9,IET-806;IET-807;IET-907
IET-907,LAB. DE SISTEMAS EMBEBIDOS II,1,9,IET-806;IET-807;IET-906
IET-908,SEÑALES Y SISTEMAS,4,9,IET-546;IET-547;MAT-360
IID-025,DISEÑO Y EVALUACIÓN DE PROYECTOS,3,9,IID-900
