codigo,nombre,creditos,semestre,prerrequisitos
ARQ-130,GEOMETRÍA DESCRIPTIVA,4,1,
ESP-181,LENGUA ESPAÑOLA I,4,1,
IID-105,INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL,2,1,
INF-103,OFIMÁTICA,2,1,
MAT-160,PRECÁLCULO,4,1,
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
IID-480,ESTUDIO DEL TRABAJO,3,2,IID-105;IID-481
IID-481,LAB. ESTUDIO DEL TRABAJO,2,2,IID-105;IID-480
INF-113,TEC. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
INF-117,ALGORITMOS COMPUTACIONALES,4,2,INF-103
ING-105,INGLÉS I,0,2,
MAT-170,CÁLCULO I,4,2,MAT-160
MED-750,QUÍMICA INORGÁNICA I,3,2,MED755
MED-755,LAB. QUÍMICA INORGÁNICA I,1,2,MED750
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
IID-420,SEGURIDAD E HIGIENE INDUSTRIAL,3,3,IID-480;IID-481
ING-115,INGLÉS II,0,3,ING-105
MAT-306,PENSAMIENTO LÓGICO,3,3,SOC-182;MAT-160
MAT-340,CÁLCULO II,4,3,MAT-170
MED-770,QUÍMICA ORGÁNICA I,3,3,MED-750;MED-755;MED-774
MED-774,LAB. QUÍMICA ORGÁNICA I,1,3,MED-750;MED-755;MED-770
SOC-114,METODOLOGÍA DE LA INVESTIGACIÓN I,3,3,
IID-950,INFORMÁTICA APLICADA A LA IID,2,4,INF-117
IMC-320,CIENCIA DE LOS MATERIALES,4,4,MED-770;MED-774;IMC-321
IMC-321,LAB. CIENCIA DE LOS MATERIALES,1,4,MED-770;MED-774;IMC-320
ING-125,INGLÉS III,0,4,ING-115
MAT-134,FUNDAMENTOS DE ESTADÍSTICA,2,4,MAT-160
MAT-350,CÁLCULO III,4,4,MAT-340
SOC-118,METODOLOGÍA DE LA INVESTIGACIÓN II,3,4,SOC-114
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,4,
IID-522,DISEÑO Y DIBUJO INDUSTRIAL,3,5,ARQ-130
IID-630,PROCESOS INDUSTRIALES,2,5,IMC-320;IMC-321
IID-631,TALLER DE PROCESOS INDUSTRIALES,2,5,IMC-320;IMC-321
ING-135,INGLÉS IV,0,5,ING-125
MAT-190,FÍSICA I,4,5,MAT-160;MAT-191
MAT-191,LAB. FÍSICA I,1,5,MAT-160;MAT-190
MAT-360,CÁLCULO IV,4,5,MAT-350
MAT-370,ÁLGEBRA LINEAL I,4,5,MAT-170
SOC-502,CIUDADANÍA Y GLOBALIZACIÓN,2,5,
IID-650,PROYECTO INTEGRADOR,5,6,
ING-168,INGLÉS PROFESIONAL,0,6,ING-135
MAT-135,ESTADÍSTICA PARA INGENIEROS I,3,6,MAT-134
MAT-500,FÍSICA II,4,6,MAT-190;MAT-191;MAT-501
MAT-501,LAB. FÍSICA II,1,6,MAT-190;MAT-191;MAT-500
SOC-140,RELACIONES HUMANAS,2,6,
SOC-155,MEDIO AMBIENTE Y SOSTENIBILIDAD,3,6,
SOC-160,ÉTICA PROFESIONAL,2,6,
IID-285,INGENIERÍA DE COSTOS,3,7,IID-480;IID-481
IID-640,ESTADÍSTICA INDUSTRIAL,3,7,MAT-135
IID-980,ERGONOMÍA,3,7,IID-420
IMC-920,MECÁNICA DE FLUIDOS I,3,7,MAT-350;MAT-500;MAT-501;IMC-925
IMC-925,TALLER DE MECÁNICA DE FLUIDOS I,1,7,MAT-350;MAT-500;MAT-501;IMC-920
MAT-510,FÍSICA III,4,7,MAT-500;MAT-501;MAT-511
MAT-511,LAB. FÍSICA III,1,7,MAT-500;MAT-501;MAT-510
SIC-766,INTELIGENCIA EMOCIONAL,2,7,
ECO-525,FINANZAS PERSONALES,2,8,
IEL-110,ELECTRICIDAD INDUSTRIAL I,3,8,MAT-510;MAT-511;IEL-115
IEL-115,TALLER DE ELECTRICIDAD INDUSTRIAL I,1,8,MAT-510;MAT-511;IEL-110
IET-110,ELECTRÓNICA BÁSICA,3,8,MAT-510;MAT-511;IET-115
IET-115,TALLER DE ELECTRÓNICA BÁSICA,1,8,MAT-510;MAT-511;IET-110
IID-720,DISEÑO DE SISTEMAS DE PRODUCCIÓN I,3,8,IID-650
IID-725,INVESTIGACIÓN OPERATIVA I,3,8,MAT-360
IID-870,DISEÑO DE EXPERIMENTOS,3,8,IID-640
INF-705,MÉTODOS NUMÉRICOS,2,8,MAT-360;INF-706
INF-706,LAB. MÉTODOS NUMÉRICOS,2,8,MAT-360;INF-705
IID-235,PLANIFICACIÓN DE LA PRODUCCIÓN,3,9,IID-720;IID-725
IID-240,NEUMÁTICA I,3,9,IID-241
IID-241,LAB. NEUMÁTICA I,1,9,IID-240
IID-830,INVESTIGACIÓN OPERATIVA II,3,9,IID-725
IID-890,INGENIERÍA AMBIENTAL,3,9,IID-650
IID-915,SIMULACIÓN DE PROCESOS,3,9,IID-870
IID-945,INGENIERÍA ECONÓMICA,3,9,MAT-360
IMC-800,TERMODINÁMICA I,4,9,IMC-920;IMC-925;IID-805
IMC-805,TALLER DE TERMODINÁMICA I,1,9,IMC-920;IMC-925;IID-800
ADM-900,FORMACIÓN DE EMPRENDEDORES,3,10,
IID-750,AUTOMATIZACIÓN Y CONTROL DE PROCESOS,3,10,IID-240;IID-241
IID-810,GERENCIA INDUSTRIAL,3,10,IID-235
IID-905,DISEÑO DE SISTEMAS DE PRODUCCIÓN II,3,10,IID-235
IID-930,ADMINISTRACIÓN DEL MANTENIMIENTO,3,10,IID-945
IID-935,LOGÍSTICA INDUSTRIAL,3,10,IID-830
IID-941,INNOVACIÓN EN INGENIERÍA,3,10,IID-915
IID-955,DISEÑO Y DESARROLLO DE PRODUCTOS,3,10,IID-980
ADM-910,LIDERAZGO Y DESEMPEÑO,3,10,IID-810
DER-675,DERECHO LABORAL PARA IID,3,10,SOC-160
DPG-010,ANTEPROYECTO DE GRADO,4,10,ADM-900
IID-025,DISEÑO Y EVALUACIÓN DE PROYECTOS,3,10,IID-945;IID-941
IMC-260,MECÁNICA VECTORIAL,4,10,MAT-190;MAT-191
DPG-020,PROYECTO DE GRADO,6,10,
IID-050,GERENCIA DE PROYECTOS,3,10,
IID-060,GESTIÓN DE LA PRODUCTIVIDAD,3,10,
IID-070,ECONOMÍA CIRCULAR,3,10,
IID-080,INTELIGENCIA DE NEGOCIOS IID,3,10,
IID-615,GERENCIA DE PRODUCTOS,3,10,
SIC-994,MANEJO DE CRISIS,3,10,
SOC-100,SOCIOLOGÍA,3,10,
SOC-480,ETIQUETA Y ROTOCOLO,2,10,
