codigo,nombre,creditos,semestre,prerrequisitos
ARQ-130,GEOMETRÍA DESCRIPTIVA,4,1,
ESP-181,LENGUA ESPAÑOLA I,4,1,
IMC-110,INTRODUCCIÓN A LA INGENIERÍA MECÁNICA,2,1,
INF-103,OFIMÁTICA,2,1,
MAT-160,PRECÁLCULO,4,1,
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
IMC-100,MECÁNICA BÁSICA,3,2,IMC-110;IMC-105
IMC-105,TALLER DE MECÁNICA BÁSICA,1,2,IMC-110;IMC-100
INF-113,TEC. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
ING-105,INGLÉS I,0,2,
MAT-170,CÁLCULO I,4,2,MAT-160
MED-750,QUÍMICA INORGÁNICA,3,2,MED-755
MED-755,LAB. DE QUÍMICA INORGÁNICA,1,2,MED-750
DIB-520,DIBUJO TÉCNICO,4,3,
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
IMC-425,SOLDADURA,3,3,IMC-100;IMC-105;IMC-426
IMC-426,TALLER DE SOLDADURA,1,3,IMC-100;IMC-105;IMC-425
ING-115,INGLÉS II,0,3,ING-105
MAT-190,FÍSICA I,4,3,MAT-160;MAT-191
MAT-191,LABORATORIO DE FÍSICA I,1,3,MAT-160;MAT-190
MAT-306,PENSAMIENTO LÓGICO,3,3,MAT-160;SOC-182
MAT-340,CÁLCULO II,4,3,MAT-170
SOC-114,METODOLOGÍA DE LA INVESTIGACIÓN I,3,3,
IMC-210,MÁQUINAS Y HERRAMIENTAS I,3,4,IMC-425;IMC-426;IMC-215
IMC-215,TALLER DE MÁQUINAS Y HERRAMIENTAS I,1,4,IMC-425;IMC-426;IMC-210
IMC-320,CIENCIA DE LOS MATERIALES,4,4,MED-750;MED-755;IMC-321
IMC-321,LAB. CIENCIA DE LOS MATERIALES,1,4,MED-750;MED-755;IMC-320
IMC-445,DISEÑO Y DIBUJO MECÁNICO,3,4,DIB-520
ING-125,INGLÉS III,0,4,ING-115
MAT-134,FUNDAMENTOS DE ESTADÍSTICA,2,4,MAT-160
MAT-350,CÁLCULO III,4,4,MAT-340
MAT-500,FÍSICA II,4,4,MAT-190;MAT-191;MAT-501
MAT-501,LABORATORIO DE FÍSICA II,1,4,MAT-190;MAT-191;MAT-500
SOC-118,METODOLOGÍA DE LA INVESTIGACIÓN II,3,4,SOC-114
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,4,SOC-114
IEL-110,ELECTRICIDAD INDUSTRIAL,3,5,MAT-500;MAT-501;IEL-115
IEL-115,TALLER DE ELECTRICIDAD INDUSTRIAL,1,5,MAT-500;MAT-501;IEL-110
IMC-260,MECÁNICA VECTORIAL,4,5,MAT-170;MAT-190;MAT-191
IMC-300,MÁQUINAS Y HERRAMIENTAS II,2,5,IMC-210;IMC-215;IMC-305
IMC-305,TALLER DE MÁQUINAS Y HERRAMIENTAS II,1,5,IMC-210;IMC-215;IMC-300
IMC-420,METALURGIA,3,5,IMC-320;IMC-321
IMC-530,DISEÑO Y DIBUJO MECÁNICO COMPUTARIZADO,3,5,IMC-445;INF-103
ING-135,INGLÉS IV,0,5,ING-125
MAT-360,CÁLCULO IV,4,5,MAT-350
MAT-510,FÍSICA III,4,5,MAT-500;MAT-501;MAT-511
MAT-511,LAB. FÍSICA III,1,5,MAT-500;MAT-501;MAT-510
SOC-502,CIUDADANÍA Y GLOBALIZACIÓN,2,5,
IEL-120,ELECTRICIDAD INDUSTRIAL II,3,6,IEL-110;IEL-115;IEL-125
IEL-125,TALLER DE ELECTRICIDAD INDUSTRIAL II,1,6,IEL-110;IEL-115;IEL-120
IMC-500,MÁQUINAS ESPECIALES,4,6,IMC-300;IMC-305
IMC-610,MECÁNICA VECTORIAL II,4,6,IMC-260
IMC-650,PROYECTO INTEGRADOR I,5,6,
ING-168,INGLÉS PROFESIONAL,0,6,ING-135
SOC-155,MEDIO AMBIENTE Y SOSTENIBILIDAD,3,6,
SOC-160,ÉTICA PROFESIONAL,2,6,
IID-420,SEGURIDAD E HIGIENE INDUSTRIAL,3,7,
IMC-480,MANTENIMIENTO MECÁNICO,3,7,IMC-300;IMC-305
IMC-630,MECÁNICA DE MATERIALES I,3,7,IMC-610;IMC-635
IMC-635,TALLER MECÁNICA DE MATERIALES I,1,7,IMC-610;IMC-630
IMC-700,DINÁMICA,4,7,IMC-610
IMC-920,MECÁNICA DE FLUIDOS I,3,7,MAT-170;MAT-500;MAT-501;IMC-925
IMC-925,TALLER DE MECÁNICA DE FLUIDOS I,1,7,MAT-170;MAT-500;MAT-501;IMC-920
INF-705,MÉTODOS NUMÉRICOS,2,7,MAT-360;INF-706
INF-706,LAB. DE MÉTODOS NUMÉRICOS,2,7,MAT-360;INF-705
SIC-766,INTELIGENCIA EMOCIONAL,2,7,
ECO-525,FINANZAS PERSONALES,2,8,
IID-810,GERENCIA INDUSTRIAL,3,8,
IMC-010,MECÁNICA DE FLUIDOS II,3,8,IMC-920;IMC-925;IMC-015
IMC-015,TALLER DE MECÁNICA DE FLUIDOS II,1,8,IMC-920;IMC-925;IMC-010
IMC-670,MECÁNICA DE MATERIALES II,3,8,IMC-630;IMC-635;IMC-675
IMC-675,TALER DE MECÁNICA DE MATERIALES II,1,8,IMC-630;IMC-635;IMC-670
IMC-810,CONTROLES DE FLUIDOS,3,8,IMC-920;IMC-925;IMC-815
IMC-815,TALLER DE CONTROLES DE FLUIDOS,1,8,IMC-920;IMC-925;IMC-810
IMC-820,DISEÑO E INSTALACIONES MECÁNICAS,2,8,IMC-530;IMC-630;IMC-635
IMC-950,MECANISMOS,3,8,IMC-700;INF-705;INF-706
IEL-900,CONTROLES DE SISTEMAS AUTOMÁTICOS,3,9,IEL-120;IEL-125;MAT-360;IEL-905
IEL-905,TALLER DE CONTROLES DE SISTEMAS AUTOMÁTICOS,1,9,IEL-120;IEL-125;MAT-360;IEL-900
IEL-910,INSTRUMENTACIÓN,3,9,IEL-120;IEL-125;MAT-360;IEL-915
IEL-915,TALLER DE INSTRUMENTACIÓN,1,9,IEL-120;IEL-125;MAT-360;IEL-910
IID-900,INGENIERÍA ECONÓMICA,4,9,MAT-360
IMC-800,TERMODINÁMICA I,4,9,IMC-920;IMC-925;IMC-805
IMC-805,TALLER DE TERMODINÁMICA I,1,9,IMC-920;IMC-925;IMC-800
IMC-930,DISEÑO MECÁNICO I,3,9,IMC-670;IMC-675;IMC-820
ADM-900,FORMACIÓN DE EMPRENDEDORES,3,10,
IID-025,DISEÑO Y EVALUACIÓN DE PROYECTOS,3,10,IID-900
IMC-020,DISEÑO MECÁNICO II,3,10,IMC-930
IMC-910,TERMODINÁMICA II,3,10,IMC-800;IMC-805;IMC-915
IMC-915,LABORATORIO DE TERMODINÁMICA II,1,10,IMC-800;IMC-805;IMC-910
IMC-935,FUNDAMENTO DE MECÁNICA AUTOMOTRIZ,3,10,IEL-900;IEL-905;IMC-930
IMC-960,DISEÑO DE SISTEMAS PARA CLIMATIZACIÓN Y,4,10,IMC-800;IMC-805;IMC-965
IMC-965,TALLER DE DISEÑO DE SISTEMAS PARA,1,10,IMC-800;IMC-805;IMC-960
DPG-010,ANTEPROYECTO DE GRADO,4,11,ADM-900
IMC-030,PLANTAS DE VAPOR,3,11,IMC-910;IMC-915
IMC-035,TRANSFERENCIA DE CALOR,3,11,IMC-910;IMC-915;IMC-037
IMC-037,TALLER DE TRANSFERENCIA DE CALOR,1,11,IMC-910;IMC-915;IMC-035
IMC-940,MOTORES DE COMBUSTIÓN INTERNA,3,11,IMC-910;IMC-915;IMC-935
IMC-970,VIBRACIONES MECÁNICAS,3,11,IMC-700
DPG-020,PROYECTO DE GRADO,6,12,
ECO-530,ECONOMÍA SOLIDARIA,3,12,
IEL-400,INSTALACIONES ELÉCTRICAS,3,12,IEL-120;IEL-125;IEL-405
IEL-405,TALLER DE INSTALACIONES ELECTRICAS,1,12,IEL-120;IEL-125;IEL-400
IET-320,CIRCUITOS LÓGICOS,3,12,IEL-120;IEL-125;IET-325
IET-325,TALLER CIRCUITOS LÓGICOS,1,12,IEL-120;IEL-125;IET-320
IID-730,INVESTIGACIÓN OPERATIVA I,4,12,
IID-890,INGENIERÍA AMBIENTAL,3,12,SOC-155
IID-941,INNOVACIÓN EN INGENIERÍAS,3,12,
INF-117,ALGORITMOS COMPUTACIONALES,4,12,
SIC-994,MANEJO DE CRISIS,3,12,
SIC-996,LIDERAZGO Y TRABAJO EN EQUIPO,3,12,
SOC-100,SOCIOLOGÍA,3,12,
SOC-280,ANTROPOLOGÍA,3,12,
SOC-480,ETIQUETA Y ROTOCOLO,2,12,
