codigo,nombre,creditos,semestre,prerrequisitos
ESP-181,LENGUA ESPAÑOLA I,4,1,
INF-117,ALGORITMOS COMPUTACIONALES,4,1,
ING-105,INGLÉS I,0,1,
MAT-115,MATEMÁTICAS DISCRETAS,4,1,
MAT-160,PRECÁLCULO,4,1,
MED-750,QUÍMICA INORGÁNICA I,3,1,MED-755
MED-755,LABORATORIO DE QUÍMICA INORGÁNICA I,1,1,MED-750
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
INF-164,PROGRAMACIÓN I,3,2,INF-117;MAT-115;INF-165
INF-165,LABORATORIO DE PROGRAMACIÓN I,1,2,INF-117;MAT-115;INF-164
INF-204,LÓGICA COMPUTACIONAL,4,2,MAT-115;INF-117
ING-115,INGLÉS II,0,2,ING-105
MAT-170,CÁLCULO I,4,2,MAT-160
MAT-190,FÍSICA I,4,2,MAT-160;MAT-191
MAT-191,LABORATORIO DE FÍSICA I,1,2,MAT-160;MAT-190
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
INF-121,ANÁLISIS DE SISTEMAS,4,3,INF-164;INF-165
INF-167,PROGRAMACIÓN II (ORIENTADA A OBJETO),3,3,INF-164;INF-165;INF168
INF-168,LABORATORIO DE PROGRAMACIÓN II,1,3,INF-164;INF-165;INF167
ING-125,INGLÉS III,0,3,ING-115
MAT-306,PENSAMIENTO LÓGICO,3,3,MAT-160;SOC-182
MAT-340,CÁLCULO II,4,3,MAT-170
MAT-500,FÍSICA II,4,3,MAT-190;MAT-191;MAT-501
MAT-501,LABORATORIO DE FÍSICA II,1,3,MAT-190;MAT-191;MAT-500
SOC-114,METODOLOGIA DE LA INVESTIGACIÓN I,3,3,
IEL-100,ELECTRICIDAD BÁSICA,3,4,MAT-500;MAT-501;IEL-105
IEL-105,TALLER DE ELECTRICIDAD BÁSICA,1,4,MAT-500;MAT-501;IEL-100
INF-171,DISEÑO DE SISTEMAS,4,4,INF-121;INF-167;INF-168
INF-172,PROGRAMACIÓN III (ORIENTADA A OBJETO),3,4,INF-121;INF-167;INF-168;INF-173
INF-173,LABORATORIO DE PROGRAMACIÓN III,1,4,INF-121;INF-167;INF-168;INF-172
INF-385,BASE DE DATOS I,3,4,INF-121;INF-167;INF-168;INF-387
INF-387,LABORATORIO DE BASE DE DATOS I,1,4,INF-121;INF-167;INF-168;INF-385
ING-135,INGLÉS IV,0,4,ING-125
MAT-134,FUNDAMENTOS DE ESTADÍSTICA,2,4,MAT-160
MAT-350,CÁLCULO III,4,4,MAT-340
SOC-118,METODOLOGÍA DE LA INVESTIGACIÓN II,3,4,SOC-118;MAT-134
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,4,
DIB-520,DIBUJO TÉCNICO,4,5,
IID-420,SEGURIDAD E HIGIENE INDUSTRIAL,3,5,
INF-440,ARQUITECTURA COMPUTACIONAL,1,5,INF-204;IEL-100;IEL-105;INF-445
INF-445,LABORATORIO ARQUITECTURA COMPUTACIONAL,2,5,INF-204;IEL-100;IEL-105;INF-440
INF-481,BASE DE DATOS II,2,5,INF-171;INF-385;INF-387;INF-482
INF-482,LABORATORIO DE BASE DE DATOS II,1,5,INF-171;INF-385;INF-387;INF-481
INF-535,DISEÑO Y PROGRAMACIÓN DE PÁGINAS WEB,3,5,INF-171;INF-385;INF-387
MAT-360,CÁLCULO IV,4,5,MAT-350
SOC-502,CIUDADANÍA Y GLOBALIZACIÓN,2,5,
INF-184,SISTEMAS OPERATIVOS,2,6,INF-440;INF-445;INF-185
INF-185,LABORATORIO DE SISTEMAS OPERATIVOS,1,6,INF-440;INF-445;INF-184
INF-217,ALGORITMOS Y ESTRUCTURAS DE DATOS,2,6,INF-172;INF-173;INF-218
INF-218,LABORATORIO DE ALGORITMOS Y ESTRUCTURAS DE DATOS,1,6,INF-172;INF-173;INF-217
INF-225,PROYECTO INTEGRADOR I,5,6,
INF-331,SEMINARIO DE INFORMÁTICA,3,6,
INF-640,MINERÍA DE DATOS,3,6,INF-481;INF-482
ING-168,INGLÉS PROFESIONAL,0,6,ING-135
MAT-135,ESTADÍSTICA PARA INGENIEROS I,3,6,MAT-134
SOC-160,ÉTICA PROFESIONAL,2,6,
INF-502,INTELIGENCIA ARTIFICIAL,2,7,INF-217;INF-218;INF-503
INF-503,LABORATORIO INTELIGENCIA ARTIFICIAL,2,7,INF-217;INF-218;INF-502
INF-700,COMPUTACIÓN GRÁFICA,3,7,INF-440;INF-445;INF-184;INF-185
INF-705,MÉTODOS NUMÉRICOS,2,7,MAT-360;INF-706
INF-706,LABORATORIO MÉTODOS NUMÉRICOS,2,7,MAT-360;INF-705
INF-710,METODOLOGÍA ÁGIL,3,7,INF-167;INF-168
MAT-145,ESTADÍSTICA PARA INGENIEROS II,3,7,MAT-135
SIC-766,INTELIGENCIA EMOCIONAL,2,7,
SOC-155,MEDIO AMBIENTE Y SOSTENIBILIDAD,3,7,
ECO-525,FINANZAS PERSONALES,2,8,
IID-725,INVESTIGACIÓN OPERATIVA I,3,8,MAT-360
INF-241,INGENIERÍA DE SOFTWARE I,3,8,INF-225
INF-810,AUDITORÍA DE SISTEMAS INFORMÁTICOS,3,8,INF-225
INF-840,PROGRAMACIÓN DE DISPOSITIVOS MÓVILES,3,8,INF-535;INF-700
ADM-910,LIDERAZGO Y DESEMPEÑO,3,9,
IID-830,INVESTIGACIÓN DE OPERATIVA II,3,9,IID-725
INF-021,GESTIÓN DE PROYECTO INFORMÁTICO,3,9,INF-241
INF-411,REDES Y COMUNICACIONES,3,9,INF-440;INF-445;INF-184;INF-185;INF-412
INF-412,LABORATORIO DE REDES Y COMUNICACIONES,1,9,INF-440;INF-445;INF-184;INF-185;INF-411
