codigo,nombre,creditos,semestre,prerrequisitos
ESP-181,LENGUA ESPAÑOLA I,4,1,
INF-103,OFIMÁTICA,2,1,
ING-152,INGLÉS ELEMENTAL I,5,1,
LEX-100,INTRODUCCIÓN A LA LIC EN LENGUAS EXTRANJERAS,2,1,
MAT-095,MATEMÁTICA BÁSICA,4,1,
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
EDU-100,INTRODUCCIÓN A LA EDUCACIÓN,3,2,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
FRA-252,FRANCÉS ELEMENTAL I,5,2,
INF-113,TEC. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
ING-252,INGLÉS ELEMENTAL II,5,2,ING-152
MAT-100,MATEMÁTICA I,4,2,MAT-095
EDU-110,DIDÁCTICA GENERAL,3,3,EDU-100
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
FRA-352,FRANCÉS ELEMENTAL II,5,3,FRA-252
ING-322,INGLÉS INTERMEDIO I,5,3,ING-252
MAT-306,PENSAMIENTO LÓGICO,3,3,MAT-100;SOC-182
SOC-114,METODOLOGÍA DE LA INVESTIGACIÓN I,3,3,
ESP-260,LINGÜÍSTICA GENERAL,3,4,ESP-189
FRA-402,FRANCÉS INTERMEDIO I,5,4,FRA-352
ING-426,INGLÉS INTERMEDIO II,5,4,ING-322
MAT-134,FUNDAMENTOS DE ESTADÍSTICA,2,4,MAT-100
SIC-100,PSICOLOGÍA GENERAL,3,4,
SOC-118,METODOLOGÍA DE LA INVESTIGACIÓN II,3,4,SOC-114
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,4,
FRA-502,FRANCÉS INTERMEDIO II,5,5,FRA-402
ING-260,FONÉTICA INGLESA I,3,5,ING-426
ING-310,GRAMÁTICA INGLESA I,3,5,ING-426
ING-502,INGLÉS AVANZADO I,4,5,ING-426
SIC-220,PSICOLOGÍA DEL APRENDIZAJE,3,5,SIC-100
SOC-502,CIUDADANÍA Y GLOBALIZACIÓN,2,5,
FRA-602,FRANCÉS AVANZADO I,4,6,FRA-502
FRA-604,FONÉTICA FRANCESA I,3,6,FRA-502
FRA-606,GRAMÁTICA FRANCESA I,3,6,FRA-502
ING-261,FONÉTICA INGLESA II,3,6,ING-260
ING-330,GRAMÁTICA INGLESA II,3,6,ING-310
ING-602,INGLÉS AVANZADO II,4,6,ING-502
ING-604,PRODUCCIÓN ESCRITA EN INGLÉS,3,6,ING-310
SOC-155,MEDIOAMBIENTE Y SOSTENIBILIDAD,3,6,
SOC-160,ÉTICA PROFESIONAL,2,6,
EDU-172,PRÁCTICA DOCENTE I,3,7,FRA-606
FRA-702,FRANCÉS AVANZADO II,4,7,FRA-602
FRA-704,GRAMÁTICA FRANCESA II,3,7,FRA-606
FRA-706,PRODUCCIÓN ESCRITA EN FRANCÉS,3,7,FRA-606
FRA-708,FONÉTICA FRANCESA II,3,7,FRA-604
ING-440,CULTURA INGLESA,3,7,ING-602
SIC-766,INTELIGENCIA EMOCIONAL,2,7,
ECO-525,FINANZAS PERSONALES,2,8,
EDU-202,PRÁCTICA DOCENTE II,3,8,EDU-172
FRA-220,CULTURA FRANCESA,3,8,FRA-702
ING-390,LITERATURA INGLESA,3,8,ING-440
ING-504,INGLÉS TURÍSTICO,3,8,ING-602
ING-800,CONVERSACIÓN INGLESA I,3,8,ING-310
ITA-106,ITALIANO I,3,8,
FRA-170,LITERATURA FRANCESA,3,9,FRA-220
FRA-504,FRANCÉS TURÍSTICO,3,9,FRA-702
FRA-900,CONVERSACIÓN FRANCESA I,3,9,FRA-702
ING-900,CONVERSACIÓN INGLESA II,3,9,ING-800
ING-902,CULTURA Y LITERATURA DE PAÍSES ANGLÓFONOS,3,9,
ITA-116,ITALIANO II,3,9,ITA-106
ADM-900,FORMACIÓN DE EMPRENDEDORES,3,10,
FRA-902,CONVERSACIÓN FRANCESA II,3,10,FRA-900
ING-904,FUNDAMENTOS DE TRADUCCIÓN DEL IDIOMA INGLÉS,3,10,ING-900
ING-906,DIDÁCTICA DEL IDIOMA INGLÉS,4,10,EDU-202
ITA-118,ITALIANO III,3,10,ITA-116
LMO-120,LITERATURA DE PAÍSES FRANCÓFONOS,3,10,
DPG-010,ANTEPROYECTO DE GRADO,4,11,ADM-900
FRA-904,FUNDAMENTOS TRADUCCIÓN DEL IDIOMA FRANCÉS,3,11,FRA-902
FRA-906,DIDÁCTICA DEL IDIOMA FRANCÉS,4,11,EDU-202
LEX-904,MULTIMEDIA EN LA ENSEÑANZA DE IDIOMAS,3,11,ING-906
DPG-020,PROYECTO DE GRADO,6,12,
ALE-100,ALEMÁN I,4,12,
ALE-110,ALEMÁN II,4,12,ALE-110
FRA-908,FRANCÉS PARA EL MUNDO DE LOS NEGOCIOS,3,12,FRA-702
ING-908,INGLÉS PARA EL MUNDO DE LOS NEGOCIOS,3,12,ING-602
LMO-250,LINGÜÍSTICA INGLESA,3,12,ESP-260;ING-330
LMO-251,LINGÜÍSTICA FRANCESA,3,12,ESP-260;FRA-704
LMO-906,HISTORIA Y EVOLUCIÓN DEL IDIOMA INGLÉS,3,12,ESP-260;ING-330
LMO-908,HISTORIA Y EVOLUCIÓN DEL IDIOMA FRANCÉS,3,12,ESP-260;FRA-704
TUR-210,GEOGRAFÍA TURÍSTICA DOMINICANA,3,12,
