codigo,nombre,creditos,semestre,prerrequisitos
ESP-181,LENGUA ESPAÑOLA I,4,1,
INF-103,OFIMÁTICA,2,1,
MAT-095,MATEMÁTICA BÁSICA,4,1,
MED-010,LABORATORIO DE BIOLOGÍA,1,1,MED-100
MED-100,BIOLOGÍA,3,1,MED-010
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SIC-102,INTRODUCCIÓN A LA PSICOLOGÍA,4,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
INF-113,TEC. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
ING-105,INGLÉS I,0,2,
MAT-100,MATEMÁTICA I,4,2,MAT-095
SIC-222,PSICOLOGÍA DEL DESARROLLO HUMANO,4,2,SIC-102
SIC-320,HISTORIA DE LA PSICOLOGÍA,3,2,SIC-102
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
ING-115,INGLÉS II,0,3,ING-105
MAT-306,PENSAMIENTO LÓGICO,3,3,MAT-100;SOC-182
SIC-110,PSICOLOGÍA SOCIAL,3,3,SIC-222
SIC-302,PSICOBIOLOGÍA,3,3,MED-010;MED-100
SIC-304,PROCESOS PSICOLÓGICOS BÁSICOS,4,3,SIC-102
SOC-114,METODOLOGÍA DE LA INVESTIGACIÓN I,3,3,
ING-125,INGLÉS III,0,4,ING-115
MAT-134,FUNDAMENTOS DE ESTADÍSTICA,2,4,MAT-100
SIC-402,TEORÍAS PSICOLÓGICAS I,3,4,SIC-320
SIC-755,NEUROPSICOLOGÍA,3,4,SIC-222;SIC-304
SIC-830,PSICOFISIOLOGÍA,3,4,SIC-302
SOC-118,METODOLOGÍA DE LA INVESTIGACIÓN II,3,4,SOC-114
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,4,
ING-135,INGLÉS IV,0,5,ING-125
SIC-131,MÉTODO CUANTITATIVO,3,5,MAT-134
SIC-161,ÉTICA DEL PSICÓLOGO,2,5,
SIC-502,TEORÍAS PSICOLÓGICAS II,3,5,SIC-402
SIC-504,PSICOLOGÍA SOCIAL INTERVENTIVA,4,5,SIC-110
SIC-506,PSICOLOGÍA CLÍNICA Y DE LA SALUD,5,5,SIC-402
SOC-502,CIUDADANÍA Y GLOBALIZACIÓN,2,5,
ING-168,INGLÉS PROFESIONAL,0,6,ING-135
SIC-010,PSICOLOGÍA FORENSE,3,6,SIC-506
SIC-220,PSICOLOGÍA DEL APRENDIZAJE,3,6,SIC-102
SIC-600,SEXOLOGÍA HUMANA,4,6,SIC-506
SIC-605,PSICOMETRÍA,3,6,SIC-131
SIC-855,PSICOLOGÍA DE LA PERSONALIDAD,3,6,SIC-506
SOC-155,MEDIO AMBIENTE Y SOSTENIBILIDAD,3,6,
SIC-700,PSICOPATOLOGÍA Y PSICOLOGÍA ANORM.,4,7,SIC-506;SIC-855
SIC-702,PSICOLOGÍA ORGANIZACIONAL,4,7,SIC-855
SIC-704,EVALUACIÓN Y DIAGNÓSTICO INFANTO JUVENIL,4,7,SIC-605
SIC-766,INTELIGENCIA EMOCIONAL,2,7,
SIC-850,DISEÑO DE INVESTIGACIÓN,3,7,SIC-131
SIC-910,ANÁLISIS FUNCIONAL DE LA CONDUCTA,3,7,SIC-102
SIC-923,PSICOLOGÍA EDUCATIVA,3,7,SIC-220
ECO-525,FINANZAS PERSONALES,2,8,
SIC-241,ENTREVISTA PSICOLÓGICA,3,8,SIC-506;SIC-855
SIC-804,PRÁCTICA I (CAMPO APLICADO I),3,8,SIC-110;SIC-504
SIC-806,PSICOLOGÍA DIFERENCIAL,3,8,SIC-855
SIC-902,PRÁCTICA II (CAMPO APLICADO II),3,9,SIC-220;SIC-241
SIC-904,MOTIVACIÓN Y EMOCIÓN,3,9,SIC-220;SIC-923
SIC-906,INTERVENCIÓN EN PSICOLOGÍA CLÍNICA,3,9,SIC-506
SIC-908,INTERVENCIÓN EN CRISIS Y EMERGENCIAS,3,9,SIC-700;SIC-506
SIC-912,PSICOLOGÍA DE LA FAMILIA,4,9,SIC-504;SIC-506
ADM-900,FORMACIÓN DE EMPRENDEDORES,3,10,
SIC-914,PRÁCTICA III (CAMPO APLICADO III),3,10,SIC-702;SIC-802
SIC-916,EVALUACIÓN Y DIAGNÓSTICO EN ADULTOS,4,10,SIC-605;SIC-855
DPG-010,ANTEPROYECTO DE GRADO,4,10,ADM-900
SIC-918,PRÁCTICA CLÍNICA,4,10,SIC-241;SIC-700
DPG-020,PROYECTO DE GRADO,6,10,
ECO-530,ECONOMÍA SOLIDARIA,3,10,
MED-320,FARMACOLOGÍA,5,10,
SIC-012,TOXICOMANÍA Y ADICCIÓN,3,10,
SIC-835,PSICOLOGÍA COMUNITARIA,3,10,
SIC-926,DUELO Y TANATOLOGÍA,3,10,
SIC-928,PSICOLOGÍA DE GÉNERO,3,10,
SIC-929,DROGODEPENDENCIA,3,10,
SIC-996,LIDERAZGO Y TRABAJO EN EQUIPO,3,10,
SOC-480,ETIQUETA Y ROTOCOLO,3,10,
