codigo,nombre,creditos,semestre,prerrequisitos
ESP-181,LENGUA ESPAÑOLA I,4,1,
INF-103,OFIMÁTICA,2,1,
MAT-095,MATEMÁTICA BÁSICA,4,1,
MED-010,LABORATORIO DE BIOLOGÍA I,1,1,MED-100
MED-100,BIOLOGÍA I,3,1,MED-010
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
VET-102,INTRODUCCIÓN A LA MEDICINA VETERINARIA,2,1,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
INF-113,TECNOL. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
ING-105,INGLÉS I,0,2,
MAT-100,MATEMÁTICA,4,2,MAT-095
VET-221,INTRODUCCIÓN A LA ANATOMÍA,3,2,MED-010;MED-100;VET-226
VET-226,LABORATORIO DE INTROD. ANATOMÍA,1,2,MED-010;MED-100;VET-221
VET-240,ETNOLOGÍA Y MORFOLOGÍA ANIMAL,3,2,MED-010;MED-100;VET-245
VET-245,LABORATORIO DE ETNOLOGÍA Y MORFOLOGÍA ANIMAL,1,2,MED-010;MED-100;VET-240
VET-281,GENÉTICA ANIMAL,3,2,MED-010;MED-100
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
ING-115,INGLÉS II,0,3,ING-105
MAT-306,PENSAMIENTO LÓGICO,3,3,MAT-100;SOC-182
MED-750,QUÍMICA INORGÁNICA I,3,3,MAT-100;MED755
MED-755,LABORATORIO QUÍMICA INORGÁNICA I,1,3,MAT-100;MED750
SOC-114,METODOLOGÍA DE LA INVESTIGACIÓN I,3,3,
VET-110,ANATOMÍA ANIMAL I,3,3,VET-221;VET-226;VET-112
VET-112,LAB. DE ANATOMÍA ANIMAL I,1,3,VET-221;VET-226;VET-110
VET-200,TEC. DE INDUSTRIAS CÁRNICAS Y LÁCTEAS,3,3,VET-221;VET-226;VET-205
