codigo,nombre,creditos,semestre,prerrequisitos
ESP-181,LENGUA ESPAÑOLA I,4,1,
IEL-130,HISTORIA DE LA TECNOLOGÍA ELÉCTRICA,2,1,
IEL-140,INTRODUCCIÓN A LA INGENIERÍA ELÉCTRICA,2,1,
INF-103,OFIMÁTICA,2,1,
MAT-160,PRE-CALCULO,4,1,
MED-750,QUÍMICA INORGÁNICA I,3,1,MED-755
MED-755,LAB. DE QUÍMICA INORGÁNICA I,1,1,MED-750
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
IEL-100,ELECTRICIDAD BASICA,3,2,MAT-160;IEL-130;IEL-105
IEL-105,TALLER DE ELECTRICIDAD BASICA,1,2,MAT-160;IEL-130;IEL-100
INF-113,TEC. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
ING-105,INGLÉS I,0,2,
MAT-170,CALCULO I,4,2,MAT-160
MAT-190,FÍSICA I,4,2,MAT-160;MAT-191
MAT-191,LAB. DE FÍSICA I,1,2,MAT-160;MAT-190
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
IEL-200,CIRCUITOS ELECTRICOS I,4,3,IEL-100;IEL-105;MAT-170;IEL-205
IEL-205,TALLER DE CIRCUITOS ELECTRICOS I,1,3,IEL-100;IEL-105;MAT-170;IEL-200
IMC-102,DIBUJO ASISTIDO POR COMPUTADORA,4,3,NF-103
ING-115,INGLÉS II,0,3,ING-105
MAT-306,PENSAMIENTO LOGICO,3,3,MAT-160;SOC-182
SOC-114,METODOLOGÍA DE LA INVESTIGACIÓN I,3,3,
IEL-300,CIRCUITOS ELECTRICOS II,4,4,IEL-200;IEL-205;IEL305
IEL-305,TALLER DE CIRCUITOS ELECTRICOS II,1,4,IEL-200;IEL-205;IEL300
IET-320,CIRCUITOS LOGICOS,3,4,IEL-100;IEL-105;IET-325
IET-325,TALLER DE CIRCUITOS LOGICOS,1,4,IEL-100;IEL-105;IET-320
IMC-100,MECANICA BASICA,3,4,IMC-105
IMC-105,TALLER DE MECANICA BASICA,1,4,IMC-100
IMC-320,CIENCIA DE LOS MATERIALES,4,4,MED-750;MED755;IMC-321
IMC-321,LAB. DE CIENCIA DE LOS MATERIALES,1,4,MED-750;MED755;IMC-320
ING-125,INGLÉS III,0,4,ING-115
MAT-134,FUNDAMENTOS DE ESTADÍSTICA,2,4,MAT-160
SOC-118,METODOLOGÍA DE LA INVESTIGACIÓN II,3,4,SOC-114
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,4,
IEL-400,INSTALACIONES ELECTRICAS,3,5,IEL-100;IEL-105;IMC-102;IEL-405
IEL-405,TALLER DE INSTALACIONES ELECTRICAS,1,5,IEL-100;IEL-105;IMC-102;IEL-400
IET-310,ELECTRONICA I,4,5,IEL-300;IEL-305;IET-315
IET-315,TALLER DE ELECTRONICA I,1,5,IEL-300;IEL-305;IET-310
IID-420,SEGURIDAD E HIGIENE INDUSTRIAL,3,5,
IMC-260,MECANICA VECTORIAL I,4,5,MAT-170
ING-135,INGLÉS IV,0,5,ING-125
SOC-502,CIUDADANIA Y GLOBALIZACIÓN,2,5,
IEL-310,MAQUINAS ELECTRICAS I,4,6,IEL-300;IEL305;IEL315
IEL-315,TALLER DE MAQUINAS ELECTRICAS I,1,6,IEL-300;IEL305;IEL310
IEL-640,PROYECTO INTEGRADOR I,5,6,
IEL-810,ANALISIS DE CIRCUITOS ELECTRICOS,3,6,IEL-300;IEL-305;MAT-360
IET-410,ELECTRONICA II,4,6,IET-310;IET-315;IET-410
IET-415,TALLER DE ELECTRONICA II,1,6,IET-310;IET-315;IET-415
IMC-920,MECANICA DE FLUIDOS I,3,6,IMC-925
IMC-925,TALLER DE MECANICA DE FLUIDOS I,1,6,IMC-920
ING-168,INGLÉS PROFESIONAL,0,6,ING-135
SOC-155,MEDIO AMBIENTE Y SOSTENIBILIDAD,3,6,
SOC-160,ÉTICA PROFESIONAL,2,6,
IEL-410,MAQUINAS ELECTRICAS II,4,7,IEL-310;IEL-315;IEL-415
IEL-415,TALLER DE MAQUINAS ELECTRICAS II,1,7,IEL-310;IEL-315;IEL-410
IET-420,COMUNICACIONES I,4,7,IET410;IET-415;IET-425
IET-425,TALLER DE COMUNICACIONES I,1,7,IET410;IET-415;IET-420
IET-720,PROGRAMACION I,3,7,IET-410;IET-415;INF-103;IET-725
IET-725,TALLER DE PROGAMACION I,1,7,IET-410;IET-415;INF-103;IET-720
IMC-630,MECANICA DE MATERIALES I,3,7,IEL-310;IEL315;IMC-635
IMC-635,TALLER DE MECANICA DE MATERIALES I,1,7,IEL-310;IEL315;IMC-630
